hasFire,elevation,slope,ndvi,road,hydrography,popDens,ocupations,lulc,year
1,814.6989746,0.39637199,0.6234,2707.120117,2406.389893,0.0,5838.026367,4,2005
1,807.0159912,0.627897978,0.6155,1604.290039,969.4630127,0.0,6509.815918,4,2005
1,788.4400024,1.867799997,0.3246,1733.050049,1551.579956,1.961470008,3908.23584,4,2005
1,796.3099976,1.280200005,0.4061,4058.570068,2085.209961,8.214019775,3891.648193,4,2005
1,782.6049805,2.017369986,0.2547,2300.969971,1648.609985,8.214019775,3911.19043,4,2005
1,794.1140137,2.522459984,0.2673,3288.379883,1985.089966,8.214019775,3628.670654,4,2005
1,769.0510254,3.116739988,0.6296,250.6829987,1709.160034,0.0,4711.575684,4,2005
1,782.6049805,2.017369986,0.2547,2300.969971,1648.609985,8.214019775,3911.19043,4,2005
1,790.6430054,1.573009968,0.6382,580.7869873,1006.409973,0.0,5508.657227,4,2005
1,803.184021,1.627920032,0.5719,1681.630005,2545.25,0.0,4742.757324,4,2005
1,796.3099976,1.280200005,0.4061,4058.570068,2085.209961,8.214019775,3891.648193,4,2005
1,782.6010132,2.073600054,0.2409,914.5239868,1740.23999,1.961470008,3921.455322,4,2005
1,775.1729736,2.084209919,0.2387,2288.679932,1114.890015,1.961470008,3418.456299,4,2005
1,790.0469971,2.659590006,0.1788,1615.77002,1551.579956,1.961470008,3898.765869,4,2005
1,790.2639771,1.325459957,0.6022,826.9639893,838.6160278,0.292205989,732.1239624,4,2005
1,716.1329956,3.05644989,0.5103,125.3420029,286.7909851,1.961470008,413.4818726,4,2005
1,764.5789795,0.965530992,0.5107,2553.580078,587.1170044,1.961470008,2168.849854,4,2005
1,759.9019775,2.164489985,0.3166,1673.089966,583.9609985,1.961470008,1951.515137,4,2005
1,760.6790161,2.426599979,0.5151,1459.189941,886.2990112,1.961470008,1070.918701,4,2005
1,767.5319824,2.420589924,0.2181,826.9639893,2512.169922,1.961470008,2526.111084,4,2005
1,718.309021,1.523769975,0.5993,605.7119751,317.3829956,1.961470008,245.0909576,4,2005
1,747.4829712,3.745349884,0.2446,919.0599976,2555.209961,1.961470008,2243.208008,4,2005
1,749.5579834,3.004839897,0.3082,2619.330078,30.39979935,1.961470008,2383.622803,4,2005
1,755.5910034,2.659919977,0.3475,271.9039917,2072.77002,1.961470008,1754.255005,4,2005
1,756.4229736,2.909189939,0.3423,2623.909912,1070.920044,1.961470008,2163.730713,4,2005
1,724.0159912,1.761520028,0.5227,346.6109924,699.1950073,1.961470008,310.0182495,4,2005
1,736.6380005,2.077869892,0.5447,1354.410034,429.9179993,1.961470008,851.7368774,4,2005
1,769.3170166,2.208739996,0.3517,2257.169922,519.4719849,1.961470008,2270.031982,4,2005
1,729.1409912,3.124119997,0.5128,882.117981,1091.430054,1.961470008,1053.518311,4,2005
1,811.1420288,1.75316,0.5508,5297.77002,623.7520142,0.292205989,4676.828125,4,2005
1,724.8670044,0.082087398,0.5311,825.8449707,577.5960083,1.961470008,339.8800049,4,2005
1,701.3209839,0.240603,0.3936,395.196991,259.7359924,5.438560009,520.3605957,3,2005
1,722.0800171,2.634599924,0.5065,911.9940186,303.9979858,1.961470008,775.0456543,4,2005
1,813.2930298,2.179749966,0.5063,6547.819824,973.2680054,0.292205989,4681.666504,4,2005
1,755.7670288,3.079050064,0.5322,1349.290039,2961.449951,1.961470008,3144.72583,4,2005
1,739.7080078,2.732089996,0.4424,685.8510132,875.2819824,1.961470008,429.9179688,4,2005
1,765.7719727,3.334199905,0.4416,1173.449951,1631.420044,1.961470008,1741.035156,4,2005
1,748.1259766,3.579299927,0.6533,1732.790039,699.1950073,1.961470008,1247.873535,4,2005
1,750.0570068,3.958430052,0.5288,1547.699951,1747.660034,1.961470008,1885.032227,4,2005
1,749.6389771,2.393980026,0.6872,1031.800049,1509.310059,1.961470008,1526.360229,3,2005
1,707.6939697,1.700809956,0.5818,192.2649994,809.4569702,5.438560009,611.0282593,4,2005
1,817.2000122,0.311138988,0.668,5975.779785,1797.699951,0.292205989,5779.878906,4,2005
1,730.9650269,2.349210024,0.5892,638.3959961,203.9279938,6.438739777,804.8771973,4,2005
1,725.5380249,2.064840078,0.6604,1522.719971,3164.209961,5.752769947,2096.483887,4,2005
1,818.664978,1.295339942,0.5148,5210.439941,2463.879883,0.292205989,6894.589844,4,2005
1,731.0120239,2.315069914,0.7113,577.5960083,299.4030151,6.438739777,221.3138275,4,2005
1,747.8150024,4.883409977,0.5989,366.0620117,85.9835968,5.438560009,243.1983337,15,2005
1,773.0560303,1.175570011,0.532,2327.120117,1559.900024,5.752769947,3529.126465,4,2005
1,756.0540161,3.065799952,0.5796,3385.449951,1826.52002,5.752769947,3053.325684,3,2005
1,725.53302,1.562229991,0.3757,547.1959839,125.3420029,6.438739777,448.8475342,4,2005
1,713.9089966,0.158373997,0.6399,989.7449951,151.9989929,5.438560009,1125.203003,4,2005
1,754.1259766,2.023180008,0.4546,567.914978,809.4569702,6.438739777,775.0456543,4,2005
1,781.1060181,3.251329899,0.465,366.0620117,1158.790039,5.438560009,739.6588745,4,2005
1,817.1589966,0.210523993,0.4158,3968.540039,1025.51001,0.292205989,6982.429199,4,2005
1,741.9320068,4.340069771,0.5788,386.9259949,797.9580078,6.438739777,548.0400391,4,2005
1,699.5780029,0.740491986,0.6951,531.7789917,346.6109924,5.438560009,491.1236572,25,2005
1,733.9000244,2.077879906,0.6945,163.7079926,903.8510132,6.438739777,257.9507751,4,2005
1,731.2949829,1.71073997,0.6278,135.9519958,2194.27002,1.961470008,1775.722534,4,2005
1,798.9639893,0.153944999,0.5593,5373.970215,1223.569946,0.0,5437.570313,4,2005
1,765.3870239,3.383430004,0.5678,1441.349976,1497.02002,5.752769947,3925.812744,4,2005
1,761.2109985,0.717420995,0.3248,2974.98999,2068.080078,5.752769947,3251.641113,3,2005
1,752.9879761,1.225810051,0.6708,1237.459961,2288.679932,5.752769947,3271.475342,4,2005
1,722.0700073,2.00680995,0.5705,96.13259888,577.5960083,5.438560009,163.7078857,4,2005
1,727.6660156,1.668290019,0.378,2312.179932,3127.629883,5.752769947,2610.313721,15,2005
1,814.0980225,0.115093999,0.4894,4719.319824,1252.310059,0.292205989,5829.472168,4,2005
1,763.2930298,4.057899952,0.5174,367.321991,475.8320007,5.438560009,990.2122803,4,2005
1,737.4229736,8.174119949,0.5006,573.5819702,155.0090027,5.438560009,487.3457336,4,2005
1,772.5029907,3.183599949,0.3935,590.257019,980.3640137,5.438560009,932.5355835,4,2005
1,738.5900269,0.715344012,0.3029,1135.02002,1462.349976,5.752769947,1336.554077,15,2005
1,706.4849854,4.183040142,0.3715,853.3629761,3806.899902,5.752769947,121.5991669,15,2005
1,757.0089722,4.812660217,0.3128,490.1820068,815.7119751,5.752769947,275.2818298,4,2005
1,742.7180176,0.422055006,0.3904,2287.27002,2549.419922,5.752769947,1555.150635,4,2005
1,804.835022,0.925153017,0.5892,2818.01001,1629.439941,6.438739777,3254.055908,4,2005
1,727.4970093,2.454040051,0.4455,1913.26001,1553.660034,5.752769947,523.0178223,4,2005
1,832.1480103,0.211841002,0.5899,109.6080017,2535.600098,0.0123088,6313.869141,4,2005
1,776.2340088,0.44927299,0.465,2116.879883,3496.110107,5.752769947,2252.458496,4,2005
1,506.4039917,0.796974003,0.3759,303.9979858,151.9989929,7.641960144,257.9507751,4,2005
1,459.8869934,1.721860051,0.3715,2804.860107,821.3569946,7.641960144,571.1602173,15,2005
1,714.8189697,4.465889931,0.4437,3722.209961,60.79959869,1.010669947,3978.541992,4,2005
0,765.1799927,1.49368,0.683499992,1237.839966,1975.98999,0.292205989,4944.243652,4,2005
0,755.4199829,1.658159971,0.682079971,339.8800049,2686.209961,0.292205989,4853.505371,4,2005
0,807.1699829,0.609492004,0.670391977,4680.089844,4519.25,0.0,9388.861328,4,2005
0,761.447998,1.960170031,0.690747023,1077.369995,1855.380005,0.292205989,4772.283203,4,2005
0,741.401001,0.255178988,0.727186024,435.2590027,425.5969849,0.292205989,1620.625366,4,2005
0,773.1030273,1.287250042,0.675217986,1010.539978,2301.77002,0.0,6915.468262,4,2005
0,814.0009766,0.472101986,0.667240024,3863.649902,2249.580078,0.0,8701.990234,4,2005
0,732.914978,4.081689835,0.722585976,1002.72998,85.9835968,0.0123088,3758.280029,3,2005
0,766.9650269,2.899539948,0.696856022,930.0549927,1795.900024,0.292205989,5680.20752,4,2005
0,782.1959839,0.794726014,0.688754022,2053.060059,1699.400024,0.0,10352.05566,4,2005
0,735.1630249,0.530925989,0.610188007,936.4910278,30.39979935,0.292205989,3933.808105,4,2005
0,794.3369751,1.270179987,0.693217993,1497.02002,2523.919922,0.0,9401.992188,4,2005
0,774.9719849,1.760730028,0.67860502,2109.01001,2923.76001,0.0,10487.04688,4,2005
0,779.4420166,1.984060049,0.678914011,395.196991,2311.179932,0.0,9005.729492,4,2005
0,758.3880005,1.608850002,0.655408025,584.7520142,2477.540039,0.0,9696.389648,4,2005
0,727.3339844,2.08039999,0.620638013,1741.040039,871.0479736,0.0,4568.978516,4,2005
0,780.0079956,2.183099985,0.661323011,795.6389771,1333.439941,0.0,8065.288574,4,2005
0,792.0770264,1.517590046,0.643145025,3127.629883,1357.47998,1.961470008,2986.769775,4,2005
0,787.34198,2.164479971,0.684644997,395.196991,1634.25,1.961470008,3117.572266,4,2005
0,739.315979,1.526759982,0.598510027,3191.97998,705.117981,0.0123088,9490.676758,4,2005
0,733.7230225,0.912119985,0.638697982,2189.840088,1155.589966,0.0,2909.658691,4,2005
0,722.3209839,0.581149995,0.643760026,3790.22998,1117.790039,0.0,2533.964355,4,2005
0,783.0020142,1.601719975,0.658805013,2409.459961,245.0910034,0.292205989,2217.518311,4,2005
0,772.0939941,1.768229961,0.659846008,547.1959839,971.3670044,0.0123088,12603.34473,4,2005
0,773.2130127,1.142869949,0.653044999,5200.589844,1096.5,0.0,7167.198242,4,2005
0,729.9379883,1.843580008,0.603138983,838.6160278,1035.380005,1.961470008,1403.667358,4,2005
0,801.7180176,0.976761997,0.680763006,2841.530029,271.9039917,0.0123088,8959.742188,4,2005
0,703.697998,1.601050019,0.664066017,644.8770142,177.2599945,1.961470008,435.2587891,3,2005
0,715.5839844,0.935525,0.594147027,2082.550049,0.0,0.0,826.9637451,15,2005
0,813.242981,0.732720017,0.670211971,4443.990234,1085.060059,0.292205989,6095.291016,4,2005
0,825.3380127,0.255699009,0.596174002,1410.23999,1605.160034,0.0123088,11840.31934,4,2005
0,789.2919922,2.403209925,0.667208016,486.3970032,109.6080017,0.0123088,12151.28809,4,2005
0,698.0609741,0.591753006,0.610997975,407.8559875,42.9917984,1.961470008,280.2722168,4,2005
0,794.7009888,0.88904798,0.681554973,4654.25,2705.580078,0.0,3744.60791,4,2005
0,721.5900269,2.398210049,0.622906029,0.0,516.7960205,5.438560009,303.9979248,4,2005
0,755.2529907,1.472640038,0.684786022,1046.920044,2450.530029,18.78120041,3058.315674,4,2005
0,817.9970093,1.385890007,0.670228004,280.2720032,2063.610107,0.292205989,7903.302734,4,2005
0,805.8610229,0.361176997,0.624592006,1109.48999,423.4200134,0.0123088,12737.6582,4,2005
0,824.6619873,0.892937005,0.630499005,243.197998,1543.52002,0.0123088,11552.28125,4,2005
0,819.776001,1.080119967,0.666705012,4574.540039,1729.319946,0.292205989,6904.033203,4,2005
0,792.9719849,0.943951011,0.706861019,1903.329956,327.4159851,0.0123088,10447.80273,3,2005
0,820.8839722,0.588566005,0.602931976,4418.439941,2862.100098,0.0123088,12827.01953,4,2005
0,773.5839844,1.015009999,0.619036973,257.9509888,135.9519958,0.0123088,10269.95703,4,2005
0,750.4060059,1.277940035,0.650785983,1974.109985,163.7079926,6.438739777,1994.374634,4,2005
