"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-15.0465768347764,3.87530723392359,-3.88267972744508,0.000103311603319091
"`Wind Speed`",-1.28546683868082,0.360098479393175,-3.56976469561061,0.000357302026538961
"LULC4",3.39649162877135,2.02295639529925,1.67897421648029,0.0931570688591834
"LULC12",0.221962011382158,2.65568592995297,0.0835799176697409,0.933390434436817
"LULC15",1.86264338208349,2.2252102590128,0.837063991835921,0.40255659920339
"NDVI",-0.997825378742792,0.410940534620466,-2.42815029104967,0.0151760529804072
"Precipitation",-20.3523416870094,4.48835278751818,-4.53447905066821,5.77458328528537e-06
"RH",-1.00593052885386,0.465783542927321,-2.15965236240821,0.0307995915903929
"Road",0.851474642268966,0.415912183975527,2.0472462098371,0.0406339163765502
"Temperature",0.662861963602007,0.422291148291342,1.56967998567825,0.116489579731317
