"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Temperature","RH","Wind Speed","Prob_fogo","HasFire_Predict"
"1","not-burned",739.2977257,1.195510653,0.580918733,919.9966268,303.8457209,0.292205989,2288.409039,"4",25.60536595,71.00505729,15.28138322,0.277233763753749,"1"
"2","not-burned",742.8921219,1.166171482,0.594239193,148.2320784,1130.533234,0.292205989,1670.969605,"4",26.78948533,75.07437343,3.831750561,0.163379381900237,"1"
"3","not-burned",708.1185699,1.738879958,0.525458872,134.5079169,687.188908,2.060642947,382.1475639,"4",23.64361707,79.43064544,7.640916898,0.404757889815842,"0"
"4","not-burned",748.2999894,1.605911072,0.588897603,315.1646793,1566.158365,0,10668.60739,"4",26.70626856,66.68277917,15.21518678,0.0781598940401673,"1"
"5","not-burned",768.2581784,1.886938397,0.589080938,379.2423791,1167.475369,1.010669947,5704.696856,"4",25.4553759,66.89380736,4.221654266,0.121812088654387,"1"
"6","not-burned",770.6764594,1.152591434,0.603823324,1579.911265,2204.278911,0.292205989,2116.452989,"4",21.84856335,72.51534907,13.492946,0.0954153052598037,"1"
"7","not-burned",489.3064514,2.428107059,0.4446052,753.4677701,629.0817339,7.641960144,1783.683341,"4",26.81772013,69.93358946,15.33310636,0.930747821502058,"0"
"8","not-burned",778.647821,4.148112244,0.56713124,465.6997169,626.2871547,5.438560009,1141.729036,"4",24.63022431,74.48237553,3.479789789,0.109300015084884,"1"
"9","not-burned",818.8393579,0.717162223,0.635013082,1747.783812,2782.478083,0.292205989,10967.44643,"4",28.00809956,40.39421599,7.392126332,0.0822543240768861,"0"
"10","not-burned",718.1587217,1.063442997,0.53198749,3159.109168,510.5742686,0,4947.452859,"4",28.64230996,81.47383006,8.800219435,0.275896950967355,"0"
"11","not-burned",701.4917477,1.163933515,0.539586445,410.3723582,200.6019842,4.052615577,612.1008701,"4",28.35811289,50.14000304,3.49589454,0.798184887106645,"1"
"12","not-burned",772.0944188,1.802482961,0.494462488,2023.262723,3621.126703,5.752769947,1922.124572,"4",21.76546255,66.17168418,15.55206252,0.303082112664916,"1"
"13","not-burned",721.343193,3.151519284,0.437864431,288.4387446,610.8771209,5.438560009,698.3987565,"4",29.14683182,54.2621729,8.031738601,0.878474886695754,"1"
"14","not-burned",817.7616091,0.791020241,0.631032036,6637.724725,2331.574647,0.292205989,5978.478673,"4",25.9815622,64.59148032,10.05453832,0.0471518379201026,"1"
"15","not-burned",821.7795574,0.821281728,0.590154746,2885.438709,1920.608564,0.0123088,13126.8677,"4",26.90511454,90.4961016,12.95660123,0.0096016890853428,"1"
"16","burned",718.305622,1.752571186,0.58904763,3264.624086,538.948004,0,1616.701669,"4",28.31041667,38.515625,13.62083333,0.69756220088493,"1"
"17","burned",718.1373795,1.419732414,0.651768713,4282.000991,1029.365736,0,3190.916995,"4",28.3453125,37.20833333,13.56817708,0.400587625452586,"1"
"18","burned",714.6687468,1.849106442,0.621585799,3580.630618,168.0047868,2.872668516,943.4806649,"4",28.31041667,38.515625,13.62083333,0.603577326213606,"1"
"19","burned",725.2291171,1.304291772,0.582745573,2657.518384,575.7657304,1.195629954,1224.178849,"4",28.3453125,37.20833333,13.56817708,0.748121246089555,"1"
"20","burned",713.445616,1.506593792,0.689746879,3614.520632,168.615681,1.706379799,1944.201493,"3",28.3453125,37.20833333,13.56817708,0.388434925180125,"1"
"21","burned",723.6853615,2.082736417,0.635236785,2992.818426,494.9219438,0.22888874,374.2657812,"4",28.31041667,38.515625,13.62083333,0.526143664499489,"1"
"22","burned",712.4235688,1.158486743,0.494115354,3532.916218,294.4674891,0,1285.727353,"4",28.31041667,38.515625,13.62083333,0.939203754193975,"0"
"23","burned",729.5163496,1.320078273,0.649309859,3504.687416,265.4153528,0.00013,8227.941362,"4",27.5671875,56.61458333,6.764114583,0.125992890071158,"0"
"24","burned",776.0384746,1.829933384,0.431319789,1883.398802,706.7883382,6.438739777,832.840766,"4",26.89427083,51.02083333,16.40854167,0.896065769895611,"1"
"25","burned",718.7418967,1.534659685,0.560532824,2583.684796,224.861023,0,8194.251909,"4",27.5671875,56.61458333,6.764114583,0.396738826877024,"1"
"26","burned",769.2825081,1.405921409,0.360724764,1212.698007,1063.830619,1.961470008,3150.607864,"4",26.58958333,59.95833333,8.22453125,0.935994906783215,"1"
"27","burned",719.8638232,1.268878799,0.629248467,2472.842562,165.9055248,0.001698266,9114.835939,"4",27.5671875,56.61458333,6.764114583,0.168251774939971,"1"
"28","burned",732.0717822,1.674147703,0.613205622,2615.984319,1182.155298,0,1462.95374,"4",28.3453125,37.20833333,13.56817708,0.559332848714514,"0"
"29","burned",717.1294212,1.291134832,0.689618182,3103.325661,707.7901212,0,864.7954113,"4",28.3453125,37.20833333,13.56817708,0.355471630371236,"1"
"30","burned",712.2821172,1.288445516,0.508419497,3901.138618,158.8532418,0,2120.982357,"4",28.31041667,38.515625,13.62083333,0.917310771429983,"0"
"31","not-burned",790.1141294,1.303728721,0.507093324,258.1132068,1474.6081,0.292205989,732.9252076,"4",20.66694371,69.03958207,10.57258394,0.450541920084553,"0"
"32","not-burned",829.5850291,0.763934194,0.566216648,232.7440896,1737.456465,2.032125379,5145.28705,"4",23.98209601,67.50437797,8.792085066,0.127436374511279,"0"
"33","not-burned",808.9356104,1.696946296,0.571483318,2020.151555,892.0863115,0.0123088,11700.17265,"4",20.13660618,73.05711495,14.23409822,0.0512327184532199,"1"
"34","not-burned",807.4056882,1.985663932,0.521872206,215.8320129,1166.499327,3.97650047,2661.535485,"4",22.45046344,71.82326188,9.124816407,0.239584875998798,"1"
"35","not-burned",816.9055029,1.800379313,0.53841769,263.491815,1756.23027,0,3813.982346,"4",26.11673108,87.14672441,8.581432588,0.0705561993591006,"0"
"36","not-burned",775.9445147,2.155281547,0.542674984,936.5329042,856.2173925,0,7519.465403,"4",29.28887393,86.03659581,6.44121543,0.0724858616101925,"1"
"37","not-burned",776.8375797,2.035670163,0.550622533,234.8207533,1277.026096,0.292205989,3460.607392,"4",24.22753047,87.91816694,4.162887012,0.0827032907237846,"0"
"38","not-burned",690.1173014,3.553426974,0.446585711,192.9674192,158.0749742,1.241032624,610.6435775,"15",24.49510123,53.64000135,15.23862053,0.0295866030777951,"1"
"39","not-burned",742.2285341,1.312646993,0.682247605,3397.755295,785.8013181,0.0123088,6534.580242,"4",25.34159235,47.90872013,14.41367603,0.116759673462696,"1"
"40","burned",710.1200008,2.045188243,0.648581925,270.2296354,302.1268256,4.891693741,388.7261839,"4",27.46666667,51.46875,10.18416667,0.30127710982455,"0"
"41","burned",703.8694905,1.649789344,0.494900471,252.3406659,213.213353,3.033231867,699.8871944,"4",25.86927083,64.14583333,9.222395833,0.762277237984182,"1"
"42","burned",702.4727523,1.179964566,0.645467557,229.4673165,134.4586749,4.305836431,605.4651203,"4",25.95885417,65.296875,10.07,0.218297419231471,"0"
"43","burned",702.0099528,1.119615023,0.622627454,307.6485851,393.5277797,4.714550553,393.7542496,"4",25.265625,66.41145833,11.77192708,0.26657339506304,"0"
"44","burned",711.0071828,2.23556132,0.644642484,207.9424153,180.1540606,1.961470008,360.8163998,"4",25.265625,66.41145833,11.77192708,0.170242212397376,"1"
"45","burned",706.7235618,1.608166049,0.521099057,257.5712779,187.9420736,1.961470008,381.8404871,"4",25.95885417,65.296875,10.07,0.674774862713768,"0"
"46","burned",706.6045093,1.818847819,0.472935913,367.5708546,373.9521469,5.034873089,614.2925545,"15",25.95885417,65.296875,10.07,0.0114639254846897,"0"
"47","burned",709.1665424,1.836450346,0.510521344,208.5145374,758.0549707,5.438560009,406.912492,"4",25.95885417,65.296875,10.07,0.631624636369785,"0"
"48","burned",705.822899,1.645324674,0.422478466,313.7750096,238.6779329,3.335894964,598.7411251,"4",25.95885417,65.296875,10.07,0.907786967761736,"0"
"49","not-burned",745.1051345,2.908397222,0.573492702,251.1378201,623.6511898,2.317002441,1348.256554,"4",25.95757875,69.95894674,13.52814802,0.21267912756232,"0"
"50","not-burned",754.4727384,2.093381171,0.619385698,1006.092837,925.246978,0.0123088,11888.53038,"4",22.28931344,44.54696908,4.91125586,0.143335184538405,"0"
"51","not-burned",779.6494205,3.517978439,0.545619024,929.1845024,360.7668065,1.195629954,4095.794633,"4",21.41465256,59.80040279,12.60041182,0.292949866376525,"0"
"52","not-burned",484.612738,1.072538437,0.416370815,1483.349931,1725.189912,5.752769947,1010.470294,"15",25.46273662,78.14419874,13.270663,0.0476674435322959,"0"
"53","not-burned",747.3946954,1.491104664,0.674174432,3475.77478,1096.083587,0.0123088,9185.26027,"4",24.81501023,47.80139705,3.657335744,0.083092781650324,"0"
"54","not-burned",737.5340096,1.551222472,0.549560413,1867.821832,1297.839712,1.195629954,2108.998352,"4",22.23509286,33.83048066,13.93966596,0.792072786031979,"0"
"55","burned",717.7036605,1.062452148,0.647751761,2750.346558,217.9655119,0,6307.119945,"4",27.80208333,49.78125,11.04229167,0.249639051918166,"0"
"56","burned",726.3947238,1.794766789,0.67194086,1869.040869,291.962169,0,6167.211941,"4",27.80208333,49.78125,11.04229167,0.146174344118891,"0"
"57","burned",717.8369115,1.509943243,0.594647232,3173.558117,552.5250365,0,800.1726869,"4",29.1609375,32.56770833,9.424583333,0.778477892677063,"0"
"58","burned",715.7049351,1.425536351,0.557253438,2451.557583,109.361846,0,5627.380164,"4",27.48333333,51.171875,7.6253125,0.590381298104955,"0"
"59","burned",720.0529146,1.837191216,0.551518085,3463.90826,268.4756519,5.647216211,1282.391135,"4",29.1609375,32.56770833,9.424583333,0.851691343426072,"1"
