"","OR","2.5 %","97.5 %"
"(Intercept)",40717089.3853593,5018641.37388217,330344657.947312
"Hydrography",0.999885835447496,0.999740462482466,1.00003122955131
"LULC4",0.0645275357944139,0.0131531850177505,0.31656232844594
"LULC9",0.0723055369950516,0.00351452148643679,1.48756827930032
"LULC12",0.0100569223476383,0.00193423349724621,0.0522903192662228
"LULC15",0.00290866933850606,0.00014424235276519,0.0586537667930152
"LULC25",0.0140211285215555,0.0005406511260827,0.363620892538204
"LULC41",4.732887734554e-08,1.91820147173835e-283,1.16777234497649e+268
"NDVI",7.53715633182206e-10,1.13312520688213e-10,5.01345528501997e-09
"Ocupations",0.999895365713795,0.99985030485918,0.999940428599196
"RH",0.933789290486416,0.926045687261473,0.941597645798357
"Road",0.999975374680956,0.99994603960662,1.00000471061589
"Slope",0.917553919915844,0.844308098387,0.997153998121467
