"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.0713058485055079,1.96189075456756,-0.036345473538472,0.97100689123352
"`Wind Speed`",-0.0913329122628622,0.0285792586146278,-3.19577612192204,0.00139455273800902
"DC",0.00173161390036924,0.000369254145993255,4.68949074549016,2.7388582022083e-06
"DMC",-0.00808592987308689,0.00137350553400981,-5.88707484088602,3.93090738032434e-09
"FMC",0.196782804870864,0.0135661833757287,14.5053917834348,1.11996191188521e-47
"Hydrography",0.000151514410453088,0.000104249898431658,1.45337705582912,0.146119093327801
"LULC4",-1.91251009575462,1.10189388947579,-1.73565722981228,0.0826244602317744
"LULC9",-1.65022830946449,2.2366594750666,-0.737809366092864,0.460630300938273
"LULC12",-3.54992404817069,1.1472028628675,-3.09441700598398,0.00197200098705644
"LULC15",-2.90050313600892,2.83967492414275,-1.02142083636018,0.307055097627579
"LULC25",-2.61951784820494,1.78019072742376,-1.47148157096393,0.141160927833989
"LULC41",-16.1610068514019,598.105941451007,-0.0270203081617869,0.978443536373248
"NDVI",-15.6735722548658,1.25934951946551,-12.4457682419397,1.47458677368439e-35
"Ocupations",-9.80955578280313e-05,3.44133561846301e-05,-2.8505083114167,0.00436494095713601
"RH",-0.0575145584173285,0.00675705565247934,-8.51177811392228,1.71286117459277e-17
"Slope",-0.128033206769177,0.0613887280135179,-2.08561426359875,0.0370135782608518
"Temperature",-0.0646328598574569,0.0326606484589791,-1.97892151279954,0.0478248437406317
