"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-7.07477159062196,1.59368031649236,-4.43926646856837,9.02660007531629e-06
"`Wind Speed`",-0.631292769309839,0.177816640612423,-3.55024573142079,0.000384871722175064
"DMC",-0.542185393532572,0.176771860642461,-3.0671476306356,0.00216112093124349
"FMC",2.76530020820992,0.355796097166984,7.77214879597766,7.71657255482534e-15
"Hydrography",0.306895236102534,0.180921502648186,1.69628944934927,0.0898310775791531
"LULC4",-0.617440937617321,1.22101660318844,-0.50567775737447,0.613082885261705
"LULC9",3.26746151671055,50.1955608755686,0.065094631073261,0.948098655151026
"LULC12",-2.63863694856816,1.32252004356114,-1.99515838071015,0.0460256086732644
"LULC15",-0.0277950438235588,6.47435766171022,-0.0042930967481053,0.996574614908686
"LULC25",1.94817638409728,19.6563581617107,0.0991117666899356,0.921049529622411
"LULC41",-6.44659784999554,698.833983293497,-0.00922479158728618,0.992639785604452
"NDVI",-1.79219314359143,0.250166289742622,-7.16400737059854,7.83521883732631e-13
"Precipitation",-13.3949051052693,1.52854501135634,-8.76317347919212,1.89829189879303e-18
"RH",-0.36502745093381,0.196299542495747,-1.85954305492952,0.0629502023883336
