"","HAS_FIRE","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Temperature","RH","Wind Speed","FMC","DMC","DC","Prob_fogo","HasFire_Predict"
"1","not-burned",1.522939368,0.509883318,13673.71652,273.9121146,2.507019997,535.2159061,"4",29.07964984,54.98008236,14.23675685,35.69441985,118.6738535,1161.278706,0.000214263210077871,"1"
"2","not-burned",1.197509359,0.52907819,1416.048386,162.9209702,0.672481,2642.55784,"4",25.29100564,92.0724348,12.47997537,45.03192456,123.9200917,209.2105146,2.71958950009852e-05,"1"
"3","not-burned",2.481048731,0.534255548,10679.97572,241.1579031,0.48012501,1627.735351,"4",29.0798204,51.97540939,6.969567411,36.03114274,83.1064652,146.495743,6.56100912217114e-05,"1"
"4","not-burned",2.232790261,0.463694781,12602.71852,875.6495068,2.507019997,2149.284479,"4",27.90004853,88.29897223,8.685840654,19.39497286,212.1735045,609.0937758,7.26555852100623e-07,"1"
"5","not-burned",1.388626773,0.538457765,4656.736913,3283.579032,2.220340014,4763.325774,"4",28.94928868,36.59373292,13.21294094,36.07498841,136.097079,886.5595942,0.000269198115802016,"1"
"6","not-burned",0.967651685,0.354311103,2601.310245,1413.944774,0.895577013,8290.49811,"4",23.24112733,80.82703784,15.59361119,64.75894307,102.2299878,416.1479061,0.0392520438135158,"1"
"7","not-burned",1.721519393,0.402252213,3294.322223,3236.306548,0.48012501,3491.396339,"4",28.28503233,61.47871217,10.76817265,36.80131129,23.70102029,442.2019967,0.00101413094777555,"1"
"8","not-burned",1.865604091,0.512183324,4137.036102,1791.133583,0.48012501,3665.816248,"4",29.74852448,35.03097344,9.457100219,32.78215607,121.2847114,1238.716814,0.000539321739490952,"1"
"9","not-burned",0.813536863,0.451833328,3529.295283,1795.176008,0.802272975,7178.153002,"4",26.66425929,37.42670293,10.35818363,12.84393875,204.2092814,330.6965188,2.31732316456714e-06,"1"
"10","not-burned",4.871848972,0.546409513,181.7202814,222.93214,0.802272975,496.8579756,"4",25.25809995,87.17031453,10.297773,19.23239902,166.8415296,155.0657451,1.05004138647436e-07,"1"
"11","not-burned",1.686812274,0.557083338,7620.014053,190.5963728,0.48012501,1207.301595,"4",21.14974589,43.41830979,14.3421122,86.47197189,172.5456674,107.1978041,0.404137963316762,"1"
"12","not-burned",1.499449304,0.74017663,1023.949369,435.2811862,2.220340014,396.3660105,"3",25.29391384,67.21103003,9.135465979,22.26064161,181.5119125,93.36700564,2.77420174753572e-07,"1"
