"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",15.9173531944308,0.997512669156951,15.9570436412435,2.54504478581613e-57
"Hydrography",-0.000294891402675387,6.86939320612074e-05,-4.29283044116086,1.7640972501396e-05
"LULC4",-3.15551741229184,0.776383976959868,-4.06437730032514,4.81608659933221e-05
"LULC9",-2.90265183072132,1.99849012167259,-1.45242240591713,0.146384190001141
"LULC12",-5.40046055174085,0.804525304727497,-6.71260496097143,1.9118018801203e-11
"LULC15",-6.3549026124611,1.3092660808339,-4.85379000150493,1.21123998973669e-06
"LULC25",-5.91272347923589,1.72316496833303,-3.43131597258258,0.000600660519194717
"LULC41",-18.4184469231469,325.199932873556,-0.0566373023524219,0.954834119242444
"NDVI",-23.4411900715788,0.920887860521609,-25.4549886870061,6.21647652322351e-143
"Ocupations",-0.000112620928003718,2.07561253194872e-05,-5.42591289415577,5.76590747654424e-08
"Road",-3.49508928115769e-05,1.33971562356355e-05,-2.60882923187906,0.00908525684343695
"Slope",-0.109947414262125,0.0368617606290835,-2.98269568207704,0.00285721933836908
