"","OR","2.5 %","97.5 %"
"(Intercept)",8181231.06689501,1158068.73124533,57796691.9959511
"Hydrography",0.999705152073521,0.999570563198918,0.99983975907007
"LULC4",0.0426163450663707,0.00930501250202743,0.195180056600705
"LULC9",0.0548775010874889,0.00109213531701216,2.75747893021741
"LULC12",0.00451450130232461,0.000932817321053682,0.0218485672903984
"LULC15",0.00173820446978672,0.000133552356020785,0.0226229987160714
"LULC25",0.00270481035219472,9.23370806520129e-05,0.079231431074925
"LULC41",1.00223631764196e-08,1.54983484422819e-285,6.48119146463468e+268
"NDVI",6.60116369791250e-11,1.08582374501616e-11,4.0131156061603e-10
"Ocupations",0.999887385413495,0.999846709564091,0.999928062917677
"Road",0.999965049717964,0.999938793036694,0.999991307088689
"Slope",0.895881244634176,0.833438689402788,0.963002095645927
