"","HAS_FIRE","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Prob_fogo","HasFire_Predict"
"1","not-burned",1.522939368,0.509883318,13673.71652,273.9121146,2.507019997,535.2159061,"4",0.505790072374969,"1"
"2","not-burned",1.197509359,0.52907819,1416.048386,162.9209702,0.672481,2642.55784,"4",0.45829880739538,"1"
"3","not-burned",2.481048731,0.534255548,10679.97572,241.1579031,0.48012501,1627.735351,"4",0.340236134278242,"1"
"4","not-burned",2.232790261,0.463694781,12602.71852,875.6495068,2.507019997,2149.284479,"4",0.669524798531835,"1"
"5","not-burned",1.388626773,0.538457765,4656.736913,3283.579032,2.220340014,4763.325774,"4",0.157037550117068,"1"
"6","not-burned",0.967651685,0.354311103,2601.310245,1413.944774,0.895577013,8290.49811,"4",0.948260571976141,"1"
"7","not-burned",1.721519393,0.402252213,3294.322223,3236.306548,0.48012501,3491.396339,"4",0.842982087567675,"1"
"8","not-burned",1.865604091,0.512183324,4137.036102,1791.133583,0.48012501,3665.816248,"4",0.369328218627052,"1"
"9","not-burned",0.813536863,0.451833328,3529.295283,1795.176008,0.802272975,7178.153002,"4",0.650158126102778,"1"
"10","not-burned",4.871848972,0.546409513,181.7202814,222.93214,0.802272975,496.8579756,"4",0.329521655626082,"1"
"11","not-burned",1.686812274,0.557083338,7620.014053,190.5963728,0.48012501,1207.301595,"4",0.280734689801889,"1"
"12","not-burned",1.499449304,0.74017663,1023.949369,435.2811862,2.220340014,396.3660105,"3",0.141011246243195,"1"
"13","not-burned",1.781048525,0.49493222,309.9170155,771.9538646,0.802272975,5092.464707,"4",0.537982018425508,"1"
"14","not-burned",2.441764473,0.454247773,3205.565099,156.9486932,0.802272975,3401.488326,"4",0.786484359967257,"1"
"15","not-burned",1.757145352,0.552498796,7214.25159,218.4019532,0.802272975,7855.420281,"4",0.170254985883978,"1"
"16","not-burned",1.296447142,0.396939273,3253.188224,251.111827,1.103440046,2816.27627,"4",0.943194621144688,"1"
"17","not-burned",1.700274852,0.514626658,2086.675497,477.9669322,0.802272975,8103.202155,"4",0.350911274840925,"1"
"18","not-burned",1.028738242,0.422505542,3950.310786,1936.169716,0.802272975,9476.239729,"12",0.218147137826858,"1"
"19","burned",1.289832244,0.665129543,287.4528295,1031.338566,0.802272975,4021.48242,"4",0.0232372164928459,"1"
"20","burned",2.004671941,0.370704545,369.2584373,1020.927743,0.802272975,3509.017266,"4",0.958612740241532,"1"
"21","burned",2.343538186,0.409213967,9061.652206,1069.148183,0.48012501,1638.556086,"4",0.89043345480391,"1"
"22","burned",1.65687943,0.363571948,707.6277556,556.8103694,0.802272975,9681.543256,"4",0.941466076254954,"1"
"23","burned",1.272868621,0.250031808,899.7991232,2354.720681,0.889882401,7061.897987,"4",0.994726066242518,"1"
"24","burned",1.446087557,0.488260094,863.6219777,342.4625926,1.086119405,1444.100473,"15",0.0882051038245027,"1"
"25","burned",1.052074822,0.203056455,1545.956497,2580.213632,0.895577013,11851.95924,"4",0.996784603083182,"1"
"26","burned",1.424016243,0.390884155,203.864575,1783.661468,1.103440046,3426.890414,"12",0.569174690316644,"1"
"27","burned",1.842922953,0.53387821,11528.42363,287.4140768,2.484396252,882.7146985,"4",0.367576869655207,"1"
"28","burned",1.813589303,0.499767062,8436.239789,1289.536295,0.48012501,1810.181057,"4",0.492078184435926,"0"
"29","burned",0.976507294,0.449153638,9799.127214,508.6277688,0.48012501,3400.449365,"4",0.777357943894656,"1"
"30","burned",1.201432865,0.451354201,186.4042559,583.356466,0.802272975,3686.65521,"4",0.810878014650684,"0"
"31","burned",0.756931913,0.542415986,7759.001377,1763.63356,1.103440046,5326.952065,"41",5.64233135976189e-08,"1"
"32","burned",0.726505288,0.407325913,7362.07881,1681.492766,1.103440046,5633.829437,"4",0.851459990970551,"1"
"33","burned",2.477125444,0.357711645,720.5180214,854.7390541,1.103440046,3731.044391,"4",0.96791836354178,"1"
"34","burned",0.851107316,0.536972727,1744.093547,2285.622325,0.895577013,9167.185118,"4",0.156249081765343,"1"
"35","burned",1.15826545,0.637953873,8374.726513,1209.82293,1.103440046,4783.824415,"3",0.412746644270516,"1"
"36","burned",1.805997649,0.407969601,9349.695359,819.0181844,0.48012501,1838.888032,"4",0.902435115244203,"1"
"37","not-burned",3.312793544,0.443803559,2793.427211,515.3263498,0.802272975,2644.057447,"4",0.809527794748416,"1"
"38","not-burned",1.445043653,0.563342216,6116.832282,463.3197555,0.48012501,7868.469876,"4",0.137166392468403,"1"
"39","not-burned",2.203409529,0.466428872,10266.69314,329.3286643,1.090920941,4232.831212,"12",0.169149625397185,"1"
"40","not-burned",1.732814153,0.463231241,1133.391452,1218.426467,1.103440046,2652.202078,"4",0.734000598826988,"1"
"41","not-burned",1.826583163,0.559289992,3423.440726,593.2270835,1.103440046,2676.139264,"4",0.241331304261899,"1"
"42","not-burned",1.131447048,0.536535547,2437.294829,3874.106135,0.48012501,5271.57555,"4",0.146676206899308,"1"
"43","not-burned",1.669084237,0.619814084,366.4877843,147.4308528,2.220340014,940.8759934,"4",0.107829790734113,"1"
"44","not-burned",1.921699116,0.474240182,9300.947141,1071.124522,2.220340014,1535.791675,"4",0.650193890768547,"0"
"45","not-burned",1.755251161,0.561184523,200.3423625,725.8551257,2.220340014,980.1417166,"4",0.285484355205616,"1"
"46","not-burned",0.90089803,0.559788525,1759.386648,1117.488894,0.802272975,6501.642052,"4",0.170430994609597,"1"
"47","not-burned",1.638508227,0.542999985,2695.587813,1319.689432,0.802272975,6586.997384,"4",0.202282087719653,"1"
"48","not-burned",3.250648881,0.436596861,4918.522054,1473.001969,0.48012501,3591.587488,"4",0.761208237189714,"1"
"49","not-burned",1.738000647,0.628119767,988.9252888,243.0415458,0.86051755,571.6028216,"3",0.696731285445466,"0"
"50","not-burned",1.830920483,0.484557772,2197.412522,256.3796488,0.802272975,3192.312306,"4",0.665965395603597,"1"
"51","not-burned",6.826018736,0.543308882,1337.750959,1718.177357,2.220340014,1277.08116,"4",0.194390284911966,"1"
"52","not-burned",0.88456677,0.412732135,4526.418007,1428.53531,0.802272975,9171.053098,"12",0.295751176734387,"1"
"53","not-burned",2.917087513,0.395143322,3403.364991,1644.246744,0.48012501,1957.390997,"12",0.527290010851085,"0"
"54","not-burned",2.76950294,0.488021096,1480.502352,398.1422775,0.802272975,1970.158763,"4",0.651696810134248,"1"
"55","not-burned",3.60313212,0.538778569,1248.248642,203.9163856,0.802272975,2171.331346,"4",0.351551113907582,"1"
"56","not-burned",1.609514406,0.499759514,439.1131778,1477.766057,2.220340014,1040.444731,"4",0.574836615207823,"0"
"57","not-burned",1.273095559,0.476644433,2029.286028,1854.948609,1.103440046,2527.272245,"4",0.633251647482273,"1"
"58","not-burned",2.1452144,0.48914478,14771.44227,715.4499566,2.507019997,2258.468157,"12",0.102780046280924,"0"
"59","not-burned",1.781511617,0.492713721,1029.04675,396.0184964,0.48012501,11764.58269,"4",0.386625401315429,"1"
"60","not-burned",2.458563601,0.487514092,6131.16602,558.2012209,0.48012501,3292.514324,"4",0.57783889436269,"0"
"61","not-burned",1.448192302,0.37345685,1029.031162,1746.736959,0.48012501,9100.792246,"12",0.506847497174272,"1"
"62","not-burned",5.954856085,0.65540665,190.0651593,380.5585459,2.220340014,1194.317314,"4",0.0290355583562537,"1"
"63","not-burned",0.840027894,0.527494431,555.692394,1032.410395,0.802272975,4395.83635,"4",0.374126477308255,"1"
"64","not-burned",4.752151223,0.510933318,1013.58347,1605.561542,2.220340014,899.2711501,"4",0.413939142578706,"1"
"65","not-burned",1.651850922,0.434588087,10074.45284,479.2228387,0.48012501,1153.196734,"4",0.854414536740548,"1"
"66","not-burned",1.263492722,0.437895544,4440.69817,1791.953735,0.48012501,13473.47878,"12",0.110283201353248,"0"
"67","not-burned",2.058155253,0.408076654,955.2467061,957.9492135,0.914987391,9651.362769,"4",0.827344283616614,"1"
"68","not-burned",2.949137069,0.472461108,2833.617411,260.9446003,0.802272975,2447.624175,"4",0.713183000346771,"1"
"69","not-burned",1.503962817,0.541306655,2529.143504,276.0453169,0.802272975,7045.234488,"4",0.258144823022819,"1"
"70","not-burned",2.298216947,0.436634509,2473.628785,206.617843,2.507019997,3655.4357,"12",0.370496642097396,"0"
"71","not-burned",1.447779118,0.604001019,2839.382486,1417.666192,0.802272975,1600.868492,"4",0.0950536407992315,"1"
"72","not-burned",0.707759246,0.496245231,5351.241227,1046.498789,2.220340014,3309.154035,"4",0.545654122858313,"1"
"73","not-burned",3.062437035,0.540611112,1099.728135,717.940856,0.48012501,443.4352075,"4",0.366437603360089,"0"
"74","not-burned",3.600239526,0.476772606,4202.060676,1262.800034,0.48012501,2444.994834,"4",0.597550516516495,"1"
"75","not-burned",1.256306664,0.468247909,2616.747724,1691.623768,0.48012501,10111.07083,"12",0.0889482941193411,"1"
"76","not-burned",1.157899826,0.400932131,1762.5711,3971.446633,0.48012501,5325.907936,"4",0.802761468874203,"1"
"77","not-burned",1.846838624,0.501923323,227.3273498,960.6909308,2.220340014,411.9508677,"4",0.611936980441807,"0"
"78","burned",3.809106524,0.317617702,4283.684561,867.1678096,0.48012501,3785.271275,"4",0.983142489039938,"1"
"79","burned",2.312964781,0.331693152,7493.62752,642.6930917,0.48012501,3832.384857,"4",0.979147504800996,"1"
"80","burned",2.081773116,0.438523168,9251.931634,485.5523094,0.48012501,1595.47176,"12",0.345759891608783,"0"
"81","burned",1.695244365,0.424301533,4416.395199,187.8732551,0.802272975,5504.680717,"4",0.858101910795739,"0"
"82","burned",1.11442478,0.229247642,986.5189382,1292.514739,1.103440046,3739.407521,"4",0.998388059592059,"0"
"83","burned",0.803623802,0.228038101,4075.504355,2437.520131,0.48012501,4957.398559,"12",0.974998466665391,"0"
"84","burned",2.512239869,0.350307042,4585.860537,1523.231116,0.48012501,3889.847782,"4",0.961818020525868,"0"
"85","burned",2.118934239,0.256208197,7866.199431,277.2751798,0.48012501,4962.832948,"15",0.917438235506312,"1"
"86","burned",1.764842377,0.451369104,1161.04809,440.7495246,0.802272975,808.5819595,"4",0.84884243407773,"0"
"87","burned",1.689690178,0.816991815,503.2283954,214.8052988,0.73114143,873.8702464,"3",0.0266220431395862,"1"
"88","burned",2.372358566,0.229183666,10200.47733,402.5305483,0.48012501,3119.447203,"4",0.998170953179629,"0"
"89","burned",1.995611356,0.648671077,11266.75258,253.6606716,2.302584271,595.2333593,"4",0.0392101643990431,"0"
"90","burned",2.644342797,0.357684507,3511.384419,2497.835156,0.48012501,2730.10697,"4",0.948814804961527,"0"
"91","burned",4.091812128,0.353661308,4872.199482,188.3687416,0.48012501,3247.66212,"4",0.968632680879365,"1"
"92","burned",2.572886424,0.265013059,3682.311218,1927.127178,0.48012501,3325.46194,"4",0.994487570640906,"0"
"93","burned",2.1466225,0.242330307,1411.792161,1894.32288,1.103440046,2065.772573,"4",0.997538935621042,"1"
"94","burned",0.999568081,0.372740941,274.1089801,1427.204399,0.802272975,3244.104991,"4",0.957655105353818,"0"
"95","burned",2.144300815,0.278151887,8571.040658,450.2141764,0.48012501,3237.701779,"4",0.994562055787182,"0"
