"","OR","2.5 %","97.5 %"
"(Intercept)",0.000154575164994462,0,Inf
"Elevation",1.00250258873829,1.00099547223621,1.00401197438165
"LULC4",687253.068032162,0,Inf
"LULC9",916463472856.261,0,Inf
"LULC12",1095845.74159757,0,Inf
"LULC15",678919.121726356,0,Inf
"LULC24",3866828251165.65,0,Inf
"LULC25",483035274963.283,0,Inf
"LULC41",4551023.43350269,0,Inf
"NDVI",0.0201653017071014,0.00904225930584241,0.0449709944367208
"Ocupations",0.99993244731405,0.999871666885811,0.999993231437023
"Pop_dens",0.985972851115177,0.963817543316085,1.00863744375462
"RH",0.90210323250938,0.894117676906806,0.910160108811598
"Road",1.00020652250663,1.00014198877986,1.0002710603974
"Slope",1.06071153301061,0.998295125492941,1.12703040166219
