"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-32.3654033883247,679.781418238004,-0.0476114858688194,0.962025878012542
"`Wind Speed`",-0.0936211603593048,0.0288256355351354,-3.24784375509051,0.00116283105877993
"DC",0.0036556345371225,0.000374711129066951,9.7558739347433,1.74094652168659e-22
"DMC",-0.00415834074765268,0.00129181228469814,-3.21899768016557,0.00128639525963396
"Elevation",0.0055311301413773,0.00125439941013102,4.40938515811291,1.03664513429989e-05
"FMC",0.239599571534066,0.0161336091335166,14.8509592336852,6.85802802962587e-50
"Hydrography",0.000364552113909279,0.000127461151186047,2.8601037297801,0.00423502459677027
"LULC4",14.2222863207889,679.778596492836,0.0209219389874373,0.983307925672161
"LULC9",26.8701617854005,1606.32532324608,0.0167277209644562,0.986653832121273
"LULC12",15.0886214721783,679.778643083135,0.0221963746959509,0.982291309453049
"LULC15",15.0241448231249,679.778909213611,0.0221015165658865,0.982366976727922
"LULC24",2.59597163080379,1606.32534893701,0.00161609329798703,0.99871054467001
"LULC25",26.6768161657772,1606.32531774986,0.0166073558518931,0.986749856247182
"LULC41",15.1968223700463,679.77889487556,0.0223555371968825,0.982164347655317
"NDVI",-1.99048769267587,0.723127422352108,-2.75260988748212,0.00591223010455935
"Ocupations",-0.000125367098397893,5.21637181157119e-05,-2.40333900508775,0.0162461188482544
"RH",-0.0644693489525244,0.00725319455652617,-8.88840750790521,6.19909577829333e-19
"Road",0.000238789003213101,5.83628147483282e-05,4.09145796416444,4.28669655344483e-05
"Temperature",-0.113350439836665,0.0344133368009444,-3.29379392914766,0.00098844935691955
