"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-25.5628313067119,1139.5278438763,-0.0224328272837595,0.982102694549746
"`Wind Speed`",-0.575112224931193,0.198123316773075,-2.90279929842842,0.00369843571840288
"DC",1.18338902111541,0.206066966045815,5.74274006078345,9.31566739586379e-09
"Elevation",0.49088940537461,0.189647379806115,2.58843230988199,0.00964138941964921
"FMC",3.20920622568213,0.390794843084844,8.21199737527088,2.17539032096345e-16
"Hydrography",0.397671425321405,0.224834673186261,1.7687281934133,0.0769392449580033
"LULC4",16.4797501244847,1139.52759860238,0.0144619139937435,0.988461464314405
"LULC9",27.7299306841405,2656.37682463875,0.0104390048983023,0.991671030433662
"LULC12",18.276225789147,1139.52765898692,0.0160384222752392,0.987203739088443
"LULC15",18.969093245073,1139.52823059752,0.0166464443229515,0.986718672470356
"LULC24",22.980249057666,2656.37782999727,0.00865097155915116,0.993097609452139
"LULC25",27.3974432026692,2656.37676260314,0.0103138393575695,0.991770892709855
"LULC41",18.9980173654945,1139.5409068691,0.0166716414048634,0.986698570897247
"Precipitation",-14.4791107630391,1.52851543905508,-9.4726624233446,2.72800118920258e-21
