"","OR","2.5 %","97.5 %"
"(Intercept)",8.78787566881443e-15,0,Inf
"`Wind Speed`",0.910627678765246,0.860606102310749,0.963556692320497
"DC",1.00366232451862,1.00292548512353,1.00439970526229
"DMC",0.995850293179484,0.993332083572133,0.998374886734089
"Elevation",1.00554645508342,1.00307727760281,1.00802171069736
"FMC",1.27074020787864,1.23118642627851,1.31156471632036
"Hydrography",1.00036461857111,1.00011473943022,1.00061456014441
"LULC4",1501967.27099955,0,Inf
"LULC9",467264719596.657,0,Inf
"LULC12",3571947.31767419,0,Inf
"LULC15",3348907.80781523,0,Inf
"LULC24",13.4096102240366,0,Inf
"LULC25",385118211043.216,0,Inf
"LULC41",3980119.37307709,0,Inf
"NDVI",0.13662877634117,0.0331142559251021,0.563727675678644
"Ocupations",0.999874640759728,0.999772419793101,0.999976872177861
"RH",0.937564851166404,0.924330720226627,0.950988462146061
"Road",1.00023881751558,1.00012440772627,1.00035324039286
"Temperature",0.89283771938122,0.834602812832351,0.955136001093236
