"","HAS_FIRE","Slope","NDVI","Road","Hydrography","Ocupations","LULC","Temperature","RH","Precipitation","Wind Speed","Prob_fogo","HasFire_Predict"
"1","burned",1.757120013,0.4393,4068.120117,2042.219971,3830.856201,"4",29.67537879,34.73484848,0.037139439,5.921515152,0.984859192955648,"1"
"2","burned",1.629369974,0.5388,2295.340088,151.9989929,9287.820313,"3",27.57045455,55.99242424,0.015082057,7.246893939,0.962737940279112,"1"
"3","burned",1.417739987,0.6821,2248.969971,125.3420029,9482.639648,"3",27.57045455,55.99242424,0.015082057,7.246893939,0.898567964752314,"1"
"4","burned",3.634660006,0.3986,384.5299988,151.9989929,3736.702148,"4",28.17651515,46.27651515,0.431097483,14.6907197,0.969354049270023,"1"
"5","burned",2.086819887,0.6006,2545.790039,96.13259888,8576.890625,"4",27.47954545,58.76515152,0.208364421,7.667462121,0.918136854249749,"1"
"6","burned",0.931496978,0.6136,2094.060059,366.0620117,9329.319336,"4",27.57045455,55.99242424,0.015082057,7.246893939,0.937916666037062,"1"
"7","burned",1.660619974,0.2141,2790.159912,30.39979935,8190.191406,"3",29.67537879,34.73484848,0.037139439,5.921515152,0.998334668860131,"1"
"8","burned",1.376060009,0.6117,2254.100098,259.7359924,9028.379883,"4",28.29962121,40.34848485,0,11.80674242,0.940607023717502,"1"
"9","burned",1.876999974,0.2131,936.4910278,1659.51001,3830.976807,"4",27.77348485,66.54166667,1.195984459,4.900833333,0.980333208689373,"1"
"10","burned",0.321420014,0.2141,2713.77002,42.9917984,8405.583984,"3",29.67537879,34.73484848,0.037139439,5.921515152,0.998645399695337,"1"
"11","burned",2.721339941,0.7087,1925.77002,734.6439819,8708.253906,"4",28.50340909,38.30681818,0,13.40049242,0.829032354411177,"1"
"12","burned",3.28102994,0.5298,2468.939941,259.7359924,8091.714355,"3",26.65719697,45.8219697,0,12.0855303,0.951738030761733,"1"
"13","burned",2.749700069,0.5859,654.8319702,1576.400024,3466.109619,"4",27.47954545,58.76515152,0.208364421,7.667462121,0.897811362834782,"1"
"14","burned",1.876999974,0.5158,936.4910278,1659.51001,3830.976807,"4",27.57045455,55.99242424,0.015082057,7.246893939,0.958864722345729,"1"
"15","burned",2.225689888,0.7087,745.2600098,2077.889893,4192.196289,"4",28.29962121,40.34848485,0,11.80674242,0.816945479483657,"1"
"16","burned",1.343780041,0.2303,2487.77002,668.7949829,9894.513672,"4",27.77348485,66.54166667,1.195984459,4.900833333,0.980063840939141,"1"
"17","burned",2.136100054,0.5158,2470.060059,177.2599945,8684.342773,"3",27.57045455,55.99242424,0.015082057,7.246893939,0.966665555956626,"1"
"18","burned",1.692649961,0.5859,2374.300049,109.6080017,9072.186523,"3",27.57045455,55.99242424,0.015082057,7.246893939,0.948036228424222,"1"
"19","burned",1.459310055,0.6014,2580.939941,151.9989929,8213.233398,"3",27.57045455,55.99242424,0.015082057,7.246893939,0.945447253096803,"1"
"20","burned",2.225689888,0.4258,745.2600098,2077.889893,4192.196289,"4",27.57045455,55.99242424,0.015082057,7.246893939,0.973976316985228,"1"
"21","burned",1.668560028,0.4294,1210.280029,1055.27002,3156.019531,"4",27.57045455,55.99242424,0.015082057,7.246893939,0.983568774124818,"1"
"22","burned",3.057650089,0.4294,2784.360107,121.598999,8407.123047,"3",27.57045455,55.99242424,0.015082057,7.246893939,0.980425707688771,"1"
"23","burned",2.628690004,0.3773,2480.149902,245.0910034,8132.725586,"3",26.82348485,60.17424242,0.07159199,8.20844697,0.984075287863667,"1"
"24","burned",1.636029959,0.4258,2868.719971,203.9279938,8454.039063,"3",27.57045455,55.99242424,0.015082057,7.246893939,0.984429161577159,"1"
"25","burned",2.561549902,0.4294,399.8469849,2074.77002,4077.313721,"4",27.57045455,55.99242424,0.015082057,7.246893939,0.971964880628969,"1"
"26","burned",2.883970022,0.6243,2463.699951,0,9117.910156,"3",27.47954545,58.76515152,0.208364421,7.667462121,0.891648804345455,"1"
"27","burned",2.315890074,0.692,3053.330078,516.7960205,1374.729492,"4",28.29962121,40.34848485,0,11.80674242,0.90813150491892,"1"
"28","burned",1.079139948,0.4162,3996.620117,30.39979935,2381.489502,"3",27.49507576,44.50378788,0.009796914,14.94276515,0.988001659902351,"1"
"29","burned",2.315890074,0.692,3053.330078,516.7960205,1374.729492,"4",28.29962121,40.34848485,0,11.80674242,0.90813150491892,"1"
"30","burned",2.523250103,0.6251,3384.219971,425.5969849,1406.626953,"4",28.57007576,38.13257576,0,13.24530303,0.939991301216108,"1"
"31","burned",1.197450042,0.5528,3529.52002,273.5979919,951.6640015,"4",27.49507576,44.50378788,0.009796914,14.94276515,0.965370678064704,"1"
"32","burned",2.055190086,0.6652,442.6279907,1961.910034,1430.083252,"4",28.29962121,40.34848485,0,11.80674242,0.885017277097802,"1"
"33","burned",2.315890074,0.692,3053.330078,516.7960205,1374.729492,"4",28.29962121,40.34848485,0,11.80674242,0.90813150491892,"1"
"34","burned",2.315890074,0.692,3053.330078,516.7960205,1374.729492,"4",28.50340909,38.30681818,0,13.40049242,0.902511337458888,"1"
"35","burned",1.260319948,0.672,4778.959961,1305.420044,7504.993652,"4",28.29962121,40.34848485,0,11.80674242,0.884418230733952,"1"
"36","burned",2.576109886,0.6251,3363.27002,448.8479919,1583.417725,"4",27.49507576,44.50378788,0.009796914,14.94276515,0.92049165822002,"1"
"37","burned",1.553069949,0.528,3487.639893,85.9835968,626.7077637,"4",28.57007576,38.13257576,0,13.24530303,0.97849434322809,"1"
"38","burned",7.799270153,0.634,3332.899902,60.79959869,491.1236572,"4",28.50340909,38.30681818,0,13.40049242,0.877067000297057,"1"
"39","burned",0.239792004,0.3194,3785.840088,42.9917984,1692.042725,"3",28.50340909,38.30681818,0,13.40049242,0.996275301626048,"1"
"40","burned",2.055190086,0.6652,442.6279907,1961.910034,1430.083252,"4",28.50340909,38.30681818,0,13.40049242,0.878172764292032,"1"
"41","burned",1.561249971,0.6679,3531.879883,85.9835968,689.2109375,"3",28.50340909,38.30681818,0,13.40049242,0.93818429535048,"1"
"42","burned",0.737417996,0.3915,3531.879883,271.9039917,1319.855225,"4",28.50340909,38.30681818,0,13.40049242,0.992541839165932,"1"
"43","burned",1.197450042,0.5528,3529.52002,273.5979919,951.6640015,"4",28.29962121,40.34848485,0,11.80674242,0.974791450029541,"1"
"44","burned",1.994940042,0.5768,3690.409912,219.2160034,2800.908203,"4",28.50340909,38.30681818,0,13.40049242,0.960687145142034,"1"
"45","burned",2.055190086,0.6652,442.6279907,1961.910034,1430.083252,"4",28.29962121,40.34848485,0,11.80674242,0.885017277097802,"1"
"46","burned",1.265679955,0.6679,3690.409912,60.79959869,902.8277588,"3",28.50340909,38.30681818,0,13.40049242,0.940841289524021,"1"
"47","burned",4.55257988,0.6744,3251.639893,543.8079834,1611.475708,"4",28.57007576,38.13257576,0,13.24530303,0.879049614043391,"1"
"48","burned",1.960989952,0.5356,3900.899902,42.9917984,2079.665771,"3",28.57007576,38.13257576,0,13.24530303,0.974213711472456,"1"
"49","burned",2.315890074,0.692,3053.330078,516.7960205,1374.729492,"4",28.29962121,40.34848485,0,11.80674242,0.90813150491892,"1"
"50","burned",2.055190086,0.6652,442.6279907,1961.910034,1430.083252,"4",28.29962121,40.34848485,0,11.80674242,0.885017277097802,"1"
"51","burned",1.297090054,0.6679,3696.540039,67.97599792,924.5735474,"3",28.50340909,38.30681818,0,13.40049242,0.940349883643237,"1"
"52","burned",2.315890074,0.692,3053.330078,516.7960205,1374.729492,"4",28.29962121,40.34848485,0,11.80674242,0.90813150491892,"1"
"53","burned",2.315890074,0.692,3053.330078,516.7960205,1374.729492,"4",28.50340909,38.30681818,0,13.40049242,0.902511337458888,"1"
"54","burned",3.630609989,0.6737,4459.560059,1028.660034,3213.331299,"4",28.50340909,38.30681818,0,13.40049242,0.867389939186587,"1"
"55","burned",1.265679955,0.6679,3690.409912,60.79959869,902.8277588,"3",28.57007576,38.13257576,0,13.24530303,0.941663242717901,"1"
"56","burned",2.494499922,0.6251,3170.47998,638.3959961,1923.852905,"4",28.50340909,38.30681818,0,13.40049242,0.933489554352677,"1"
"57","burned",0.174146995,0.5921,2919.169922,42.9917984,1840.129272,"4",28.50340909,38.30681818,0,13.40049242,0.970404896203738,"1"
"58","burned",1.567450047,0.3472,2635.159912,578.3959961,1185.981567,"4",27.49507576,44.50378788,0.009796914,14.94276515,0.99128979245527,"1"
"59","burned",0.867263973,0.5467,3583.570068,214.9589996,1415.795044,"4",28.50340909,38.30681818,0,13.40049242,0.975580757458599,"1"
"60","burned",1.339709997,0.7064,4015.77002,182.3990021,2664.277588,"4",28.50340909,38.30681818,0,13.40049242,0.910958483402517,"1"
"61","burned",2.389359951,0.5528,2798.27002,1003.650024,1462.037231,"4",28.29962121,40.34848485,0,11.80674242,0.960072549165143,"1"
"62","burned",1.218420029,0.692,3406.540039,0,598.8064575,"4",28.50340909,38.30681818,0,13.40049242,0.932459598979605,"1"
"63","burned",1.197450042,0.692,3529.52002,273.5979919,951.6640015,"4",28.29962121,40.34848485,0,11.80674242,0.929690872044799,"1"
"64","burned",2.315890074,0.5528,3053.330078,516.7960205,1374.729492,"4",28.29962121,40.34848485,0,11.80674242,0.966564210726992,"1"
"65","burned",2.315890074,0.6506,3053.330078,516.7960205,1374.729492,"4",28.50340909,38.30681818,0,13.40049242,0.927209688502518,"1"
"66","burned",1.197450042,0.5528,3529.52002,273.5979919,951.6640015,"4",28.50340909,38.30681818,0,13.40049242,0.973128619084949,"1"
"67","burned",3.493099928,0.4507,3536.969971,214.9589996,1142.724854,"4",28.57007576,38.13257576,0,13.24530303,0.982379368114994,"1"
"68","burned",1.197450042,0.5988,3529.52002,273.5979919,951.6640015,"4",27.49507576,44.50378788,0.009796914,14.94276515,0.951348525142225,"1"
"69","burned",1.376719952,0.5555,3819.26001,121.598999,2343.940186,"3",28.57007576,38.13257576,0,13.24530303,0.97166006367772,"1"
"70","burned",0.880203009,0.3915,3249.370117,42.9917984,1037.608643,"4",27.49507576,44.50378788,0.009796914,14.94276515,0.990976412678793,"1"
"71","burned",2.143270016,0.692,3684.52002,192.2649994,759.994812,"4",28.29962121,40.34848485,0,11.80674242,0.921494397553977,"1"
"72","burned",0.669825971,0.6564,3565.209961,259.7359924,1220.921631,"4",28.57007576,38.13257576,0,13.24530303,0.94705914816219,"1"
"73","burned",2.315890074,0.4564,3053.330078,516.7960205,1374.729492,"4",28.50340909,38.30681818,0,13.40049242,0.982735379397514,"1"
"74","burned",1.909010053,0.3472,3354.73999,486.3970032,1025.514404,"4",28.57007576,38.13257576,0,13.24530303,0.993268637653591,"1"
"75","burned",0.868323982,0.692,3452.350098,30.39979935,543.8079834,"4",28.29962121,40.34848485,0,11.80674242,0.939410467619105,"1"
"76","burned",1.33186996,0.6652,3726.300049,96.13259888,1674.473999,"4",28.29962121,40.34848485,0,11.80674242,0.942148330751093,"1"
"77","burned",2.315890074,0.5662,3053.330078,516.7960205,1374.729492,"4",28.57007576,38.13257576,0,13.24530303,0.961212571329818,"1"
"78","burned",2.055190086,0.6744,442.6279907,1961.910034,1430.083252,"4",28.57007576,38.13257576,0,13.24530303,0.87204713430851,"1"
"79","burned",1.751530051,0.6652,3450.610107,487.3460083,2249.790039,"4",28.29962121,40.34848485,0,11.80674242,0.928013817422719,"1"
"80","burned",3.427580118,0.7151,3295.820068,491.1239929,1671.988525,"4",28.50340909,38.30681818,0,13.40049242,0.864891307736081,"1"
"81","burned",2.055190086,0.528,442.6279907,1961.910034,1430.083252,"4",27.49507576,44.50378788,0.009796914,14.94276515,0.94110331938718,"1"
"82","burned",2.237999916,0.5528,3281.209961,519.4719849,1219.40686,"4",28.50340909,38.30681818,0,13.40049242,0.965057865516624,"1"
"83","burned",2.087519884,0.692,3469.840088,67.97599792,584.7516479,"3",28.29962121,40.34848485,0,11.80674242,0.925794825944143,"1"
"84","burned",1.197450042,0.6652,3529.52002,273.5979919,951.6640015,"4",28.29962121,40.34848485,0,11.80674242,0.942054004051959,"1"
"85","burned",2.315890074,0.6652,3053.330078,516.7960205,1374.729492,"4",28.29962121,40.34848485,0,11.80674242,0.923975624502383,"1"
"86","burned",2.055190086,0.6396,442.6279907,1961.910034,1430.083252,"4",28.50340909,38.30681818,0,13.40049242,0.897760869778719,"1"
"87","burned",2.055190086,0.692,442.6279907,1961.910034,1430.083252,"4",28.29962121,40.34848485,0,11.80674242,0.862264235042428,"1"
"88","burned",0.150143996,0.4641,3630.330078,194.654007,1947.723022,"3",28.50340909,38.30681818,0,13.40049242,0.988145721616158,"1"
"89","burned",2.315890074,0.692,3053.330078,516.7960205,1374.729492,"4",28.50340909,38.30681818,0,13.40049242,0.902511337458888,"1"
"90","burned",0.177344993,0.692,3907.879883,151.9989929,2618.796875,"3",28.50340909,38.30681818,0,13.40049242,0.93351927661213,"1"
"91","burned",2.315890074,0.692,3053.330078,516.7960205,1374.729492,"4",28.29962121,40.34848485,0,11.80674242,0.90813150491892,"1"
"92","burned",2.315890074,0.5988,3053.330078,516.7960205,1374.729492,"4",28.50340909,38.30681818,0,13.40049242,0.949975436464867,"1"
"93","burned",2.315890074,0.5436,3053.330078,516.7960205,1374.729492,"4",28.57007576,38.13257576,0,13.24530303,0.967210959728122,"1"
"94","burned",2.300620079,0.4902,3331.52002,0,951.6640015,"4",28.57007576,38.13257576,0,13.24530303,0.981978510522462,"1"
"95","burned",1.598590016,0.6652,3856.100098,194.654007,2756.34082,"4",28.29962121,40.34848485,0,11.80674242,0.934423039660432,"1"
"96","burned",7.275249958,0.5662,3251.639893,135.9519958,480.6629028,"4",28.57007576,38.13257576,0,13.24530303,0.92851501340028,"1"
"97","burned",2.055190086,0.4248,442.6279907,1961.910034,1430.083252,"4",28.50340909,38.30681818,0,13.40049242,0.978719998732911,"1"
"98","burned",0.170876995,0.4248,3475.830078,376.0249939,2099.567383,"4",28.50340909,38.30681818,0,13.40049242,0.990552197551787,"1"
"99","burned",0.99911201,0.4063,3830.370117,367.321991,2148.72998,"4",28.57007576,38.13257576,0,13.24530303,0.99074248486576,"1"
