"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",8.13465204589276,0.386913178737854,21.0244894537548,3.91584758453545e-98
"Hydrography",-0.000306863334649958,5.70959223508088e-05,-5.37452276827281,7.67857807429052e-08
"LULC4",-0.489374661541298,0.189754590172513,-2.5789872123588,0.00990904547589141
"LULC12",-1.81692940622357,0.44067893077625,-4.12302308853992,3.73932201035708e-05
"LULC15",-1.75203034029737,0.250763010517441,-6.98679736170862,2.81231972945495e-12
"LULC21",-2.30822434914462,0.870035214920096,-2.65302404955713,0.00797741867542932
"LULC25",-0.957129718196585,1.33551404487279,-0.716675142332744,0.473574567285572
"LULC29",-11.3311806752972,219.241500398139,-0.0516835574228415,0.958780839003863
"LULC41",-2.07646576450265,1.43363972218412,-1.44838743819068,0.147508725972189
"NDVI",-12.1937727840782,0.567432088027548,-21.4893958966349,1.95640120369194e-102
"Ocupations",-9.4983246933362e-05,1.53279391569413e-05,-6.1967395591043,5.76447666274681e-10
"Road",-4.51075934372522e-05,3.13299353279978e-05,-1.43976018351184,0.149935259648822
"Slope",-0.202160534355002,0.0286448385229065,-7.05748556387707,1.69542372490868e-12
