"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Prob_fogo","HasFire_Predict"
"1","burned",796.8170166,1.757120013,0.4393,4068.120117,2042.219971,8.214019775,3830.856201,"4",0.681197389324855,"1"
"2","burned",718.7059937,1.629369974,0.5388,2295.340088,151.9989929,0,9287.820313,"3",0.550548090742836,"0"
"3","burned",718.46698,1.417739987,0.6821,2248.969971,125.3420029,0,9482.639648,"3",0.180948895446759,"1"
"4","burned",770.401001,3.634660006,0.3986,384.5299988,151.9989929,1.195629954,3736.702148,"4",0.83632608972866,"1"
"5","burned",714.7379761,2.086819887,0.6006,2545.790039,96.13259888,0,8576.890625,"4",0.257468076769261,"1"
"6","burned",722.8369751,0.931496978,0.6136,2094.060059,366.0620117,0,9329.319336,"4",0.246372873472216,"1"
"7","burned",717.9310303,1.660619974,0.2141,2790.159912,30.39979935,0,8190.191406,"3",0.986280688051173,"1"
"8","burned",720.5139771,1.376060009,0.6117,2254.100098,259.7359924,0,9028.379883,"4",0.244020176704906,"1"
"9","burned",779.7410278,1.876999974,0.2131,936.4910278,1659.51001,1.961470008,3830.976807,"4",0.977066698230761,"1"
"10","burned",716.1729736,0.321420014,0.2141,2713.77002,42.9917984,0,8405.583984,"3",0.989281343584109,"1"
"11","burned",725.0750122,2.721339941,0.7087,1925.77002,734.6439819,0,8708.253906,"4",0.0638023073835479,"0"
"12","burned",718.473999,3.28102994,0.5298,2468.939941,259.7359924,0,8091.714355,"3",0.512859104870485,"1"
"13","burned",779.4320068,2.749700069,0.5859,654.8319702,1576.400024,1.961470008,3466.109619,"4",0.289577986743001,"1"
"14","burned",779.7410278,1.876999974,0.5158,936.4910278,1659.51001,1.961470008,3830.976807,"4",0.51522274802926,"1"
"15","burned",752.4829712,2.225689888,0.7087,745.2600098,2077.889893,0,4192.196289,"4",0.0747558922835405,"1"
"16","burned",734.934021,1.343780041,0.2303,2487.77002,668.7949829,0.0123088,9894.513672,"4",0.964706776105748,"1"
