"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",8.28419352587109,0.86972357844863,9.52508789131373,1.64902322104646e-21
"LULC4",-0.349008772261202,0.41866671323172,-0.833619586250783,0.404495384984414
"LULC9",-1.13814904963649,1.12784430692325,-1.00913667130293,0.312909093049311
"LULC12",-1.19131502410685,0.436734703823725,-2.72777732952427,0.00637626337617615
"LULC15",-1.22178790783656,0.681659405712751,-1.79237299096467,0.0730732382662419
"LULC25",0.612196346751535,1.56651690979784,0.390800982052941,0.695944349013562
"LULC41",-0.707274201199913,1.48318345689711,-0.47686225052669,0.633460214404193
"NDVI",-10.0109759127818,0.596411220977506,-16.7853580896315,3.12339681013483e-63
"Ocupations",-4.58900854301913e-05,2.04227950545454e-05,-2.2470031799089,0.0246398238866129
"Precipitation",-1.70165759238583,0.0622652511287209,-27.3291693446798,1.91004406549381e-164
"RH",-0.0418132270042458,0.00447523761502399,-9.34324176751486,9.34288039971298e-21
"Road",3.13548678632238e-05,1.59242851289112e-05,1.96899688804855,0.0489534484392184
"Temperature",0.0916653403809587,0.0237548507829428,3.85880514335956,0.000113942738160118
