"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-10.574623317118,0.630042892847059,-16.7839736582585,3.19708755177435e-63
"LULC4",-0.349008772261218,0.418666713231718,-0.833619586250826,0.40449538498439
"LULC9",-1.13814904963651,1.12784430692324,-1.00913667130296,0.312909093049296
"LULC12",-1.19131502410688,0.436734703823721,-2.72777732952437,0.00637626337617421
"LULC15",-1.22178790783661,0.681659405712746,-1.79237299096475,0.0730732382662291
"LULC25",0.612196346751478,1.56651690979784,0.390800982052905,0.695944349013589
"LULC41",-0.707274201199939,1.48318345689711,-0.476862250526708,0.63346021440418
"NDVI",-1.31834518095729,0.0785413795712601,-16.7853580896318,3.12339681012156e-63
"Ocupations",-0.140888650125684,0.0627006901393876,-2.24700317990886,0.0246398238866152
"Precipitation",-18.9134642602746,0.692061438887333,-27.3291693446796,1.91004406550272e-164
"RH",-0.708656032197623,0.0758469115785403,-9.34324176751485,9.3428803997144e-21
"Road",0.133546766207067,0.0678247726127318,1.96899688804851,0.0489534484392225
"Temperature",0.2603527970473,0.0674697963164402,3.85880514335953,0.00011394273816013
