"","OR","2.5 %","97.5 %"
"(Intercept)",3960.76919231983,720.227140810296,21781.5904260153
"LULC4",0.705386942404306,0.310497182500843,1.60249679081434
"LULC9",0.320411539141907,0.0351305811017218,2.9223414812872
"LULC12",0.303821468698526,0.129083045988106,0.715101538978523
"LULC15",0.294702794182394,0.0774737745528921,1.12102111198439
"LULC25",1.84447806662192,0.0855956874273483,39.7461535797227
"LULC41",0.492986148738175,0.0269368414382805,9.02241427988346
"NDVI",4.49043487950865e-05,1.39515432877002e-05,0.000144528852409357
"Ocupations",0.999954110967504,0.999914085662647,0.999994137874523
"Precipitation",0.182380960067405,0.161428131414371,0.206053395425397
"RH",0.959048888279661,0.950673563363962,0.967497998846026
"Road",1.00003135535943,1.00000014384254,1.00006256785048
"Temperature",1.0959979744351,1.04613946488855,1.14823271684318
