HAS_FIRE;Elevation;Slope;NDVI;Road;Hydrography;Pop_dens;Ocupations;LULC;year
1;811,9019775;0,298911989;0,5593;7792,370117;1616,060059;0,672481;5400,649902;4;2005
1;810,0549927;1,268890023;0,6554;7037,009766;1315,300049;0,672481;4062,780029;4;2005
1;810,0549927;1,268890023;0,6119;7037,009766;1315,300049;0,672481;4062,780029;4;2005
1;815,1199951;0,280788988;0,5836;6424,149902;1605,160034;0,672481;5143,22998;4;2005
1;816,6199951;1,021900058;0,2472;8442,660156;2692,399902;0,672481;4586,740234;4;2005
1;812,9979858;1,733890057;0,5884;7167,970215;1569,050049;0,672481;5715,47998;4;2005
1;812,9979858;1,733890057;0,6134;7167,970215;1569,050049;0,672481;5715,47998;4;2005
1;818,7999878;0,551986992;0,5628;6390,109863;3958,97998;0,292205989;6681,390137;4;2005
1;814,7670288;0,682971001;0,6366;8497;2097,810059;0,672481;4650,27002;4;2005
1;812,6290283;1,21370995;0,6005;8949,990234;2038,369995;0,672481;4273,740234;4;2005
1;814,9180298;0,818286002;0,6582;7900,5;3028,560059;0,672481;5098,649902;4;2005
1;814,9310303;0,305581987;0,6407;8796,950195;3227,540039;0,672481;4202,319824;4;2005
1;815,9840088;0,257616997;0,5921;7062,830078;2176,929932;0,672481;5997,089844;4;2005
1;815,0269775;0,836592972;0,5741;5568,720215;1144,339966;0,672481;3047,419922;4;2005
1;772,2789917;11,89309978;0,5652;5352,52002;548,039978;0,672481;2007,540039;4;2005
1;716,5380249;2,02696991;0,5992;5827,890137;177,2599945;1,103440046;2221,679932;4;2005
1;815,1799927;0,209268004;0,4938;5915,399902;1586,920044;0,672481;4060,050049;4;2005
1;792,1099854;4,402959824;0,4431;7315,240234;231,5180054;0,672481;2827,340088;4;2005
1;772,3729858;1,904989958;0,5649;679,7600098;30,39979935;0,672481;7424,52002;4;2005
1;768,6300049;11,80840015;0,6545;4377,990234;395,196991;0,672481;2597;4;2005
1;810,8619995;1,990419984;0,6185;7648,25;303,9979858;0,672481;3587,300049;12;2005
1;765,4699707;13,20199966;0,4073;4609,759766;830,3099976;1,103440046;2558,100098;4;2005
1;821,5089722;0,430568993;0,5404;4413;1526,359985;0,292205989;4807,589844;4;2005
1;810,6690063;1,124130011;0,4034;8063,339844;490,1820068;0,672481;4459,560059;4;2005
1;776,7620239;7,930540085;0,5196;3933,810059;237,4299927;0,895577013;6189,180176;4;2005
1;694,2869873;4,30768013;0,5289;6892,180176;286,7909851;1,103440046;1101,550049;4;2005
1;705,3590088;3,61638999;0,3674;3730,76001;328,8240051;1,103440046;480,6629944;12;2005
1;745,6719971;2,66663003;0,4827;3106,290039;395,196991;1,103440046;1638,77002;4;2005
1;718,3389893;3,045350075;0,407;4069,939941;42,9917984;1,103440046;1180,51001;4;2005
1;796,6890259;10,50860023;0,488;3880,949951;151,9989929;0,895577013;6350,720215;4;2005
1;738,1569824;2,55824995;0,4103;2773,050049;30,39979935;1,103440046;2344,72998;4;2005
1;795,565979;5,62928009;0,5975;3454,889893;1647,77002;1,103440046;1822,209961;4;2005
