"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-10.3728426329506,0.83774575576498,-12.3818504141256,3.27699128285817e-35
"`Wind Speed`",-0.0798606523468066,0.0133744990794142,-5.97111352527042,2.35639696209696e-09
"DC",0.00133959560070019,0.000163772459086022,8.1796146200416,2.84753097278468e-16
"DMC",-0.00446275831340985,0.000566924750079501,-7.87187067204956,3.49377231426883e-15
"Elevation",0.00248853037319223,0.000508634134183263,4.8925744576466,9.95254446317631e-07
"FMC",0.192720449485778,0.00656991066301865,29.3338006208488,3.84572653032748e-189
"Hydrography",0.000145755922354509,5.14111878842544e-05,2.83510123677087,0.00458111660696954
"NDVI",-7.62627756908522,0.430112263153399,-17.7309000984362,2.42126761640227e-70
"RH",-0.0439858565534197,0.00326557645802521,-13.4695534215172,2.36290807710626e-41
"Road",7.33145080920626e-05,2.61481512852079e-05,2.80381229603551,0.0050502296854757
"Slope",0.0271940691506979,0.0172987388550286,1.57202611003014,0.115944496027044
"Temperature",-0.0365143018105013,0.016435376360885,-2.22168942217853,0.0263043018998551
