"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-7.89161379905589,0.70561971083761,-11.1839474972831,4.88668925249095e-29
"`Wind Speed`",-0.378419226049793,0.0841422529380054,-4.49737453938399,6.87977327083952e-06
"DC",0.354526840306782,0.101634138238672,3.48826532551721,0.000486165383115045
"DMC",-0.74155488793802,0.102521194018319,-7.2331862210414,4.71791752664488e-13
"FMC",2.91214356751804,0.17111000236903,17.0191311273403,5.92432244674487e-65
"LULC4",0.139652760532052,0.54517262972443,0.256162457390135,0.797825396305736
"LULC9",2.48503943001823,2.92699977091656,0.849005679710067,0.395878131855903
"LULC12",-0.201980640109472,0.568803882710822,-0.355097154307152,0.722516808451018
"LULC15",-0.914195732181951,0.625853890715345,-1.46071750251011,0.144092983774254
"LULC25",2.23298197876411,3.98929769012838,0.559743130799609,0.575654658616349
"LULC41",0.739607507806194,0.81413416727612,0.90845899550037,0.363635768469413
"NDVI",-0.952664106768955,0.10474764817077,-9.09484960670266,9.47174662178221e-20
"Ocupations",0.125512961251172,0.087126553605816,1.44058218828472,0.149702755433167
"Precipitation",-13.0929727806295,0.716017006368139,-18.2858405096285,1.07296763001393e-74
