"","OR","2.5 %","97.5 %"
"(Intercept)",3.12702737245173e-05,6.05398307857012e-06,0.000161518459188886
"`Wind Speed`",0.923244989445975,0.899357923267423,0.947766499282449
"DC",1.00134049325968,1.00101912643602,1.00166196325482
"DMC",0.995547184995445,0.994441595011117,0.996654004141163
"Elevation",1.00249162933499,1.00149273881597,1.00349151614907
"FMC",1.21254377889856,1.19703020623177,1.2282584082602
"Hydrography",1.00014576654527,1.00004499285785,1.00024655038756
"NDVI",0.000487472066290391,0.00020981547286468,0.00113256192295542
"RH",0.956967492195938,0.950862065206757,0.963112121757273
"Road",1.00007331719567,1.00002206531675,1.00012457170128
"Slope",1.02756720250847,0.993311631390295,1.06300411905294
"Temperature",0.964144304788577,0.933581468652997,0.995707682370205
