"","OR","2.5 %","97.5 %"
"(Intercept)",545.35812094998,267.862589854985,1110.32854661454
"Elevation",1.00180653807836,1.0010519641,1.00256168084028
"LULC4",0.671207470379193,0.465643578078135,0.967519986321464
"LULC9",2.64394191529099,0.819894001514528,8.5260153611561
"LULC12",0.332667450259753,0.226809234167137,0.487932657895106
"LULC15",0.230266763001259,0.148123350477445,0.357963696960472
"LULC25",0.796704514939671,0.258947263882263,2.45122529818989
"LULC41",0.525725715138612,0.29680643771021,0.931204625109442
"NDVI",3.5439907640005e-07,1.87673863650493e-07,6.6923919458019e-07
"Ocupations",0.999973808683401,0.99994540538099,1.0000022127926
"Pop_dens",0.943944070961217,0.911696630356496,0.977332129388721
"Road",1.00007017343505,1.00003968691173,1.00010066088775
"Slope",1.02572322998019,1.00416557744247,1.04774368705272
