"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Prob_fogo","HasFire_Predict"
"1","burned",809.0360107,1.262859941,0.1722,1685.47998,2082.550049,0.895577013,7096.709961,"12",0.982297944974324,"1"
"2","burned",816.4290161,0.288116992,0.2631,2370.790039,2719.889893,0.895577013,9581.919922,"4",0.96576294394177,"1"
"3","burned",823.3720093,0.810356021,0.1392,2247.320068,2505.540039,0.895577013,8551.799805,"4",0.994643048179167,"1"
"4","burned",820.7379761,0.443850994,0.4556,1523.630005,1862.589966,0.895577013,7610.700195,"12",0.445818295686576,"1"
"5","burned",811.8540039,0.638970971,0.2957,1931.280029,2128.199951,0.895577013,7054.910156,"12",0.899300053015431,"1"
"6","burned",822.8410034,0.454236001,0.2878,967.5540161,1497.319946,0.895577013,7776.640137,"12",0.903385335983745,"0"
"7","burned",796.5720215,0.235093996,0.3833,1981.819946,310.0180054,0.895577013,6758.669922,"12",0.703042376629562,"1"
"8","burned",827.2630005,1.261729956,0.6431,603.4190063,2077.889893,0.895577013,8090.970215,"12",0.0453432415730963,"1"
"9","burned",825.9979858,2.014580011,0.2786,894.085022,1879.140015,0.895577013,8064.370117,"12",0.917185069012128,"1"
"10","burned",810.5180054,1.35766995,0.2993,1427.5,1798.72998,0.895577013,6826.430176,"12",0.893068696478221,"1"
"11","burned",825.1680298,1.342229962,0.1746,650.5839844,928.0650024,0.895577013,6944.609863,"12",0.980980053025919,"1"
"12","burned",800.2839966,1.922999978,0.423,1633.689941,802.5780029,0.895577013,8343.570313,"4",0.722667918763451,"1"
"13","burned",801.7579956,0.413893014,0.4653,1638.77002,759.9949951,0.895577013,6351.299805,"12",0.412023535007447,"1"
"14","burned",821.867981,0.075236097,0.4011,1237.459961,1580.790039,0.895577013,7337.189941,"12",0.639145913390201,"1"
"15","burned",827.1680298,0.689163029,0.3096,1626.030029,1851.390015,0.895577013,7914.700195,"12",0.877395392327986,"1"
"16","burned",808.9400024,0.477214009,0.3495,300.9429932,1897.73999,0.895577013,6146.620117,"4",0.879990793514426,"1"
"17","burned",821.1729736,0.873058975,0.2445,327.4159851,520.3610229,0.895577013,6501.290039,"12",0.946579366904547,"1"
"18","burned",739.1309814,1.460330009,0.5197,0,327.4159851,0.895577013,9232.730469,"12",0.191464331676859,"1"
"19","burned",822.7579956,0.95638299,0.2932,2039.280029,2383.040039,0.895577013,7920.299805,"12",0.903719948108694,"1"
"20","burned",827.052002,1.477200031,0.4653,346.6109924,1768.680054,0.895577013,7756.77002,"12",0.398808799078523,"1"
"21","burned",820.3280029,0.953593016,0.423,2926.290039,3204.840088,0.895577013,9287.120117,"4",0.737938384084835,"1"
"22","burned",739.3460083,1.461019993,0.3126,30.39979935,288.3980103,0.895577013,9196.330078,"12",0.837397808519762,"1"
"23","burned",823.7719727,1.183809996,0.3815,3357.77002,3418.459961,0.895577013,8886.780273,"12",0.731562533208634,"1"
"24","burned",813.4899902,1.306450009,0.4733,2258.810059,2452.040039,0.895577013,7351.089844,"12",0.398130155756953,"1"
"25","burned",805.0679932,0.135261998,0.1907,1311.430054,851.7369995,0.895577013,6596.819824,"12",0.97569531590139,"1"
"26","burned",822.492981,0.304187,0.4182,1421.329956,1690.400024,0.895577013,7633.799805,"12",0.581699051004075,"1"
"27","burned",828.7670288,1.730069995,0.1623,1893.839966,2103.090088,0.895577013,8038.720215,"12",0.985235920248571,"1"
"28","burned",817.5230103,2.002089977,0.1653,2948.780029,2906.320068,0.895577013,9241.740234,"4",0.992513890437139,"0"
"29","burned",827.1939697,1.490239978,0.2643,2368.060059,3558.199951,0.895577013,9865.330078,"4",0.96656460579864,"1"
"30","burned",820.8850098,1.455489993,0.4788,2885.580078,3167.709961,0.895577013,9322.480469,"4",0.553905129470013,"0"
"31","burned",806.5869751,1.484719992,0.4089,641.2839966,1505.329956,0.895577013,6501.359863,"4",0.758782578116938,"1"
"32","burned",826.190979,1.215909958,0.2558,237.4299927,1713.209961,0.895577013,7663.700195,"12",0.936304423280466,"1"
"33","burned",829.4910278,1.20472002,0.3773,1378.76001,1577.569946,0.895577013,7640.700195,"12",0.725033370843268,"1"
"34","burned",794.3519897,2.318799973,0.4131,3040.129883,2278.570068,0.895577013,5472.299805,"4",0.782112154134999,"1"
"35","burned",795.2550049,1.32201004,0.5038,3877.850098,1759.25,0.895577013,6627.430176,"4",0.483932332865746,"1"
"36","burned",798.9589844,0.32130599,0.5974,2740.199951,2047.650024,0.895577013,5458.180176,"4",0.179100329350058,"1"
"37","burned",789.2249756,0.540008008,0.3015,3446.050049,2229.780029,0.895577013,5577.180176,"4",0.94818648800722,"1"
"38","burned",792.1890259,1.225739956,0.443,2631.290039,214.9589996,0.895577013,6989.640137,"12",0.507971067923596,"1"
