year;month;temp
2009;1;32,25174774
2009;2;31,63187818
2009;3;34,70560352
2009;4;29,43574131
2009;5;29,80442977
2009;6;29,55005485
2009;7;31,45112696
2009;8;34,14880738
2009;9;36,2864408
2009;10;34,51816203
2009;11;33,78556024
2009;12;32,36944796
2010;1;32,7761583
2010;2;34,53120686
2010;3;32,16715294
2010;4;31,61240023
2010;5;32,42262274
2010;6;31,28667129
2010;7;31,43690734
2010;8;32,31028571
2010;9;34,44825239
2010;10;36,81238849
2010;11;31,93732599
2010;12;32,82929013
2011;1;32,38188689
2011;2;32,53228377
2011;3;31,69909419
2011;4;30,5934042
2011;5;30,38884182
2011;6;31,70032848
2011;7;31,10879413
2011;8;34,03937222
2011;9;35,7658267
2011;10;34,2653993
2011;11;32,19180378
2011;12;32,00494563
2012;1;32,12425874
2012;2;33,16255838
2012;3;33,81036772
2012;4;33,83948307
2012;5;32,67130024
2012;6;32,0746049
2012;7;32,16782389
2012;8;33,39589049
2012;9;36,15241135
2012;10;37,07853168
2012;11;36,66393789
2012;12;35,3506442
2013;1;33,48333992
2013;2;33,47324674
2013;3;35,59574329
2013;4;30,98108068
2013;5;32,25895927
2013;6;30,92759893
2013;7;32,4330559
2013;8;33,79313951
2013;9;37,36942409
2013;10;36,0012401
2013;11;35,06217209
2013;12;33,04331918
2014;1;32,73112246
2014;2;32,96985497
2014;3;32,25268199
2014;4;32,81442357
2014;5;32,77174827
2014;6;30,94249885
2014;7;31,52523885
2014;8;34,91389445
2014;9;36,89090251
2014;10;37,23488169
2014;11;34,13143978
2014;12;33,69050294
2015;1;36,66755794
2015;2;33,77297583
2015;3;33,86234573
2015;4;34,56623904
2015;5;31,88572511
2015;6;32,48564088
2015;7;32,64604377
2015;8;34,87875371
2015;9;38,23542203
2015;10;39,48491941
2015;11;38,78559999
2015;12;36,68615887
2016;1;35,40320175
2016;2;34,32323348
2016;3;34,09819633
2016;4;34,86750651
2016;5;33,28172939
2016;6;34,31980211
2016;7;32,81790086
2016;8;35,2036401
2016;9;36,94135995
2016;10;37,66027892
2016;11;34,58867525
2016;12;33,36859709
2017;1;36,33742648
2017;2;32,55155968
2017;3;34,58420321
2017;4;33,03665489
2017;5;33,17791831
2017;6;33,39225444
2017;7;30,35715013
2017;8;34,20433179
2017;9;34,54095229
2017;10;38,24322955
2017;11;33,91769389
2017;12;34,16798714
2018;1;34,17000456
2018;2;31,60174382
2018;3;32,83317819
2018;4;32,54116591
2018;5;31,98021889
2018;6;31,96795661
2018;7;31,63462031
2018;8;34,21794013
2018;9;36,86752113
2018;10;37,01536307
2018;11;31,42484389
2018;12;34,03453565
