"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.484317414410344,0.126204837246948,3.8375503267174,0.000124267772113952
"Elevation",0.0465574692835373,0.0236050992219336,1.97234795947296,0.0485698982447002
"Hydrography",-0.138781990979226,0.0217151576971074,-6.39101925553656,1.64783627704431e-10
"LULC4",-0.398311174897852,0.126729028493997,-3.14301450607836,0.00167217552907412
"LULC9",-0.759809276624559,0.315912551207869,-2.40512532255994,0.0161669205639496
"LULC12",-0.775286296271256,0.138091932411563,-5.61427653833266,1.97386328031982e-08
"LULC15",-0.680079548461445,0.236073397009549,-2.88079706174575,0.0039667095406492
"LULC25",-0.606015628955608,0.366052155972405,-1.65554448749454,0.0978141000704866
"LULC41",-1.43471513237193,0.723769444675928,-1.98228198623987,0.0474476890114772
"NDVI",-0.243691495183002,0.0231298487431345,-10.5358015043369,5.90778474293983e-26
"Pop_dens",0.202203276079541,0.0219622952888402,9.20683714612866,3.35875725011086e-20
"Road",0.102548009946989,0.0225695612193613,4.54364216256974,5.52904864524186e-06
