"","Temperature","RH","Precipitation","Wind Speed","HAS_FIRE","Prob_fogo","HasFire_Predict"
"1",28.8125,56.76562,0.09612489,5.270104,"not-burned",0.266442432971707,"0"
"2",28.25938,56.88021,0.4917547,7.626563,"not-burned",0.263815915148393,"1"
"3",25.65156,70.81771,6.718245,5.070677,"not-burned",0.035376437273963,"0"
"4",26.13385,74.42188,7.525694,5.518594,"burned",0.0312218922605185,"1"
"5",24.28229,84.56771,10.18216,5.32776,"not-burned",0.0080063319391503,"0"
"6",24.21667,83.03125,10.7054,4.868333,"not-burned",0.0080868889617968,"0"
"7",23.97865,86.53646,17.8982,6.524896,"not-burned",0.00403499528618844,"1"
"8",24.28542,83.6875,23.27892,7.625156,"not-burned",0.00387314333552123,"1"
"9",23.18906,89.21354,16.2618,8.65849,"not-burned",0.00360061633646356,"0"
"10",25.14479,79.625,1.919083,8.844583,"not-burned",0.0326078497054878,"1"
"11",26.66615,69.07292,0.6760363,7.713594,"not-burned",0.0934767774141324,"0"
"12",25.39635,76.89062,9.461599,5.618333,"not-burned",0.0191794193442431,"1"
"13",23.89635,88.46354,12.79283,5.475313,"not-burned",0.00467102984434561,"0"
"14",23.34635,88.49479,11.9549,9.505156,"not-burned",0.0057441795164645,"0"
"15",23.60833,85.34375,7.752473,8.449583,"not-burned",0.00951288904193631,"0"
"16",23.86094,86.42188,9.656125,7.358958,"not-burned",0.00763478552483757,"0"
"17",23.62604,87.52604,13.7618,7.543698,"not-burned",0.00500791869761615,"0"
"18",22.81563,93.70833,34.2326,8.926198,"not-burned",0.000663024786311762,"1"
"19",22.93125,93.70312,16.15303,9.381615,"not-burned",0.00266025817157233,"0"
"20",22.38854,93.72396,86.73476,11.53318,"not-burned",1.52477888588172e-05,"1"
"21",22.79063,89.29167,24.40092,9.364427,"not-burned",0.00186613994002228,"1"
"22",22.31615,90.96354,25.81194,9.029844,"not-burned",0.00129135363439094,"1"
"23",23.74479,85.63542,10.00534,7.11,"not-burned",0.00745076357410093,"1"
"24",24.19583,84.32812,17.91148,7.748594,"not-burned",0.00541108064979717,"1"
"25",23.80729,88.32292,10.79609,6.320781,"not-burned",0.00566540838269225,"0"
"26",24.6026,84.49479,8.35515,4.32349,"not-burned",0.00931026299339029,"0"
"27",23.75833,86.41667,21.98528,6.127135,"not-burned",0.00275717623752772,"0"
"28",23.46719,88.26562,28.58388,8.573698,"not-burned",0.00166918046567402,"1"
"29",23.86927,85.88542,2.160281,9.238906,"not-burned",0.0156663475050637,"1"
"30",24.83594,69.48958,0,10.53156,"not-burned",0.0728117150568731,"0"
"31",24.52865,65.11979,0.006197526,11.05964,"not-burned",0.0908275943616726,"0"
"32",24.88021,69.34375,0.2159925,8.754583,"not-burned",0.0647255392165521,"0"
"33",25.35052,73.11458,0.8558342,6.866302,"not-burned",0.0485295136929062,"1"
"34",24.75313,72.08854,0.4067805,6.565885,"not-burned",0.0446733427413333,"1"
"35",25.5026,67.70312,0.1461219,5.027083,"not-burned",0.0651296009765569,"1"
"36",25.49115,73.11979,0.6757342,7.111458,"not-burned",0.0518598905199539,"0"
"37",25.89167,73.25521,0.3254244,6.457344,"not-burned",0.0558574248522416,"1"
"38",26.16667,66.75521,0.4334206,7.5725,"not-burned",0.0953213818840496,"1"
"39",26.24635,66.875,0.2833106,8.018177,"not-burned",0.100469045236371,"1"
"40",25.96771,64.19792,0.001754739,8.54151,"not-burned",0.115712485456972,"0"
"41",26.40885,60.58333,0,5.737604,"not-burned",0.131958580592128,"0"
"42",27.10521,52.48958,0,5.662448,"not-burned",0.237454654591523,"0"
"43",27.19167,52.71354,0,5.912135,"not-burned",0.242514230034103,"1"
"44",26.07031,65.16146,1.202156,5.537813,"not-burned",0.084690512776751,"0"
"45",24.94427,78.51042,8.830646,7.657552,"not-burned",0.0185737340832778,"1"
"46",25.46406,76.74479,1.223532,6.64901,"not-burned",0.0382094099527939,"0"
"47",26.48542,67.09896,0.1295317,6.85375,"not-burned",0.098299868920305,"1"
"48",26.5401,56.66667,0,8.77401,"not-burned",0.203490188432329,"0"
"49",25.25469,51.73438,0,9.225885,"not-burned",0.203938981906685,"0"
"50",25.21198,58.60417,0.2463016,7.270313,"not-burned",0.12049161350539,"0"
"51",26.36198,64.10938,0.2585848,7.442188,"not-burned",0.117130505003628,"0"
"52",26.20417,69.34375,2.040124,7.709688,"not-burned",0.0746556568348689,"0"
"53",26.49688,61.67188,0.0748157,9.714479,"not-burned",0.162440625484924,"0"
"54",26.51198,52.85938,0,10.18651,"not-burned",0.265509055992976,"0"
"55",26.71563,57.41146,0.03860427,7.454948,"not-burned",0.187529915719803,"0"
"56",27.35677,57.82812,0.1555337,6.443646,"not-burned",0.197716720979021,"0"
"57",27.40781,58.45312,0.2732608,6.606354,"not-burned",0.194027070842918,"0"
"58",27.56719,56.61458,0.02376874,6.764115,"burned",0.226263953034949,"1"
"59",27.07031,59.08333,0.1909475,7.672135,"burned",0.186487360707895,"0"
"60",27.69792,61.52604,0.05471596,6.559948,"not-burned",0.177552080824664,"0"
"61",27.93802,55.32812,0.001013384,8.111354,"not-burned",0.280706821209215,"0"
"62",27.4099,54.38542,0.02702356,10.58583,"not-burned",0.301042728128759,"0"
"63",26.26042,61.84896,0.3523197,8.80401,"not-burned",0.141229639162606,"0"
"64",27.0474,65.51562,0.902587,5.100625,"not-burned",0.104821812927792,"0"
"65",25.48646,72.94271,5.268074,5.836979,"not-burned",0.0346506860073509,"0"
"66",25.93958,77.03125,2.322,4.590417,"not-burned",0.0339851334100735,"0"
"67",25.56719,76.54167,6.238389,6.547813,"not-burned",0.0276767079190768,"0"
"68",25.71198,73.86979,2.161885,8.685625,"not-burned",0.0528515207598016,"0"
"69",26.24323,65.42708,0.1992988,8.481719,"not-burned",0.113320685702455,"1"
"70",25.54583,65.80208,0.1187348,5.537552,"not-burned",0.0767437517038899,"1"
"71",25.22917,71.48438,0.3234383,5.350052,"not-burned",0.0485088272519148,"0"
"72",24.8875,79.08333,4.455172,5.466823,"not-burned",0.0205747947511286,"1"
"73",24.69479,82.80729,2.742216,5.290417,"not-burned",0.0171614275551866,"0"
"74",26.01563,68.58854,0.1768354,10.34354,"not-burned",0.10092426191344,"0"
"75",26.40208,55.29167,0.001520075,12.1175,"burned",0.256619136960394,"0"
"76",26.04115,62.47396,0.5666503,11.3575,"not-burned",0.150321737591726,"1"
"77",25.85729,57.6875,0.0123295,10.26661,"not-burned",0.181011207584198,"0"
"78",26.57708,58.13542,0.0008444862,7.695469,"burned",0.177829693601273,"0"
"79",26.86094,60.51042,0.07178133,6.69599,"not-burned",0.156006629363633,"0"
"80",27.50625,58.41146,0.1371446,8.470781,"not-burned",0.223504312398972,"0"
