"","Temperature","RH","Precipitation","Wind Speed","FMC","DMC","DC","HAS_FIRE","Prob_fogo","HasFire_Predict"
"1",28.8125,56.76562,0.09612489,5.270104,86.45022004,48.96131727,485.4969427,"not-burned",0.302049775198038,"0"
"2",28.25938,56.88021,0.4917547,7.626563,86.77321202,51.38973503,491.7876302,"not-burned",0.275508790386274,"1"
"3",25.65156,70.81771,6.718245,5.070677,59.11118241,33.17068235,469.4448356,"not-burned",0.036896382965235,"0"
"4",26.13385,74.42188,7.525694,5.518594,52.24398326,21.57891669,446.0026655,"burned",0.0327530776202259,"0"
"5",24.28229,84.56771,10.18216,5.32776,35.88969044,11.69176301,410.5188497,"not-burned",0.00891294733023686,"0"
"6",24.21667,83.03125,10.7054,4.868333,32.89899623,6.373419227,375.9992806,"not-burned",0.00779307741433287,"1"
"7",23.97865,86.53646,17.8982,6.524896,27.41281402,3.145787109,315.586884,"not-burned",0.00179946984086076,"0"
"8",24.28542,83.6875,23.27892,7.625156,30.40171421,1.720334596,248.4250841,"not-burned",0.000765989945787456,"0"
"9",23.18906,89.21354,16.2618,8.65849,24.37860219,0.727450109,209.9854203,"not-burned",0.00153960342258413,"1"
"10",25.14479,79.625,1.919083,8.844583,50.05398628,1.494792551,214.2461762,"not-burned",0.0403732353999213,"1"
"11",26.66615,69.07292,0.6760363,7.713594,72.77753268,3.099080515,220.2500824,"not-burned",0.09540319675497,"1"
"12",25.39635,76.89062,9.461599,5.618333,57.49825914,2.832206538,207.6556306,"not-burned",0.011575742468901,"0"
"13",23.89635,88.46354,12.79283,5.475313,30.32227896,1.364030603,182.8216562,"not-burned",0.00290680271417103,"1"
"14",23.34635,88.49479,11.9549,9.505156,27.70093184,0.674400125,162.4366668,"not-burned",0.00320519900222286,"0"
"15",23.60833,85.34375,7.752473,8.449583,33.51497348,0.693304461,152.3028634,"not-burned",0.00733673811620578,"0"
"16",23.86094,86.42188,9.656125,7.358958,31.8880902,0.648829478,139.3611706,"not-burned",0.00513106357510199,"0"
"17",23.62604,87.52604,13.7618,7.543698,27.51280141,0.590453175,117.0173041,"not-burned",0.00221037330334373,"0"
"18",22.81563,93.70833,34.2326,8.926198,14.31061245,0.288258305,58.82859676,"not-burned",4.0270527291194e-05,"0"
