HAS_FIRE;Elevation;Slope;NDVI;Hydrography (m);Road (m);LULC;Pop. Density (hab/km²)
1;809,0369873;0,115415998;0,587065995;4698,220215;4465,459961;4;0
1;749,6430054;0,728960991;0,611244023;3785,840088;3539,060059;4;0
1;797,4920044;1,592759967;0,558910012;2777,050049;1889,930054;4;0,292205989
1;774,7160034;1,623080015;0,600215971;3572,459961;2504,25;4;0
1;763,0009766;1,718889952;0,596235991;4414,990234;3941,439941;4;0
1;769,0219727;1,754649997;0,576627016;194,654007;656,2410278;4;0
1;784,0949707;2,9454;0,572556973;2989,860107;942,8839722;4;0,292205989
1;757,7210083;1,67632997;0,580074012;2980,110107;3153,679932;4;0
1;775,3950195;2,032520056;0,610578001;3293,580078;2396,959961;4;0
1;794,6740112;1,787739992;0,532658994;2796,949951;2164,370117;4;0,292205989
1;790,5059814;1,410339952;0,611756027;2818,01001;2097,590088;4;0
1;767,8400269;1,301249981;0,609975994;2831,26001;2846,080078;4;0
1;758,2269897;0,925055981;0,613992989;3241,389893;3310,790039;4;0
1;772,3770142;1,195420027;0,579017997;3840,01001;1920,01001;4;0
1;779,3400269;1,920369983;0,621511996;2827,340088;2471,560059;4;0
1;767,5859985;1,561740041;0,605189025;1581,079956;2074,77002;4;0
1;770,4569702;1,750440001;0,591920972;487,3460083;989,7449951;4;0
1;811,2800293;0,94935298;0,594044983;2103,73999;959,8829956;2;0
1;808,2459717;0,340766996;0,590852976;4714,419922;4215,060059;4;0
1;810,9819946;0,267948985;0,596032023;3303,379883;5622,319824;4;0
1;776,223999;1,992720008;0,579602003;3723,820068;2470,060059;4;0
1;809,0369873;0,115415998;0,587065995;4698,220215;4465,459961;4;0
1;775,8980103;1,819000006;0,61441803;2941,879883;1417,099976;4;0,292205989
1;765,8469849;1,927449942;0,605314016;2467,070068;2927,550049;4;0
1;776,8770142;1,23477006;0,592373013;1972,47998;2089,419922;4;0
1;763,072998;2,454920053;0,591135979;3725,800049;3684,399902;4;0
1;765,8740234;1,410830021;0,611362994;4396,629883;2687,070068;4;0
1;816,0009766;0,323936999;0,589246988;3004,820068;2433,5;2;0
1;807,9520264;0,309024006;0,60146302;4656,330078;4541,790039;4;0
1;816,0009766;0,323936999;0,589246988;3004,820068;2433,5;2;0
1;808,6779785;1,255839944;0,580424011;1417,099976;327,4159851;2;0
1;816,0009766;0,323936999;0,589246988;3004,820068;2433,5;2;0
1;807,9520264;0,309024006;0,60146302;4656,330078;4541,790039;4;0
1;807,9520264;0,309024006;0,60146302;4656,330078;4541,790039;4;0
1;808,65802;0,036362201;0,596848011;3968,419922;4800,950195;4;0
1;816,0739746;1,18283999;0,573629022;1840,380005;3229,399902;4;0
1;746,4639893;2,186120033;0,51137203;317,3829956;60,79959869;4;0
1;807,0159912;0,627897978;0,615284979;969,4630127;1604,290039;4;0
1;814,6989746;0,39637199;0,566017985;2406,389893;2707,120117;4;0
1;804,6290283;0,925396025;0,362040013;2617,209961;328,8240051;2;0,672482014
1;735,9730225;1,154420018;0,528443992;407,8559875;954,572998;3;0,292205989
1;758,6030273;0,980328977;0,612331986;1613,47998;1264,430054;4;0,292205989
1;729,6010132;0,704626024;0,599133015;0;1467,400024;5;0,292205989
1;728,177002;2,594280005;0,464403003;376,0249939;151,9989929;4;0
1;728,4719849;0,449979991;0,510972023;60,79959869;1467,089966;5;0,292205989
1;752,7139893;2,593280077;0,56634599;524,7819824;109,6080017;4;0
1;759,3920288;1,007570028;0,598433018;2484,98999;1180,51001;4;0
1;731,4390259;0,461937994;0,578980029;271,9039917;1431,050049;4;0,0123088
1;733,3319702;0,443919003;0,373003006;271,9039917;530,9099731;3;0,292205989
1;737,4520264;1,007500052;0,549048007;299,4030151;715,526001;4;0,292205989
