HAS_FIRE;Elevation;Slope;NDVI;Hydrography (m);Road (m);LULC;Pop. Density
1;608,2609863;3,158380032;0,476945013;423,4200134;5978,180176;3;2,220340014
1;599,447998;3,220319986;0,481025994;303,9979858;5239,450195;3;2,220340014
1;567,3969727;1,010990024;0,428847998;96,13259888;11707,90039;4;2,220340014
1;570,1259766;4,232480049;0,394879997;219,2160034;4951,810059;3;2,220340014
1;617,7579956;2,514110088;0,458902001;840,8170166;4714,419922;3;2,220340014
1;609,6610107;2,687210083;0,467898011;1204,540039;6792,5;3;2,220340014
1;611,8259888;1,26880002;0,451658994;906,9130249;7265,609863;3;2,220340014
1;617,7579956;2,514110088;0,458902001;840,8170166;4714,419922;3;2,220340014
1;580,1699829;4,125589848;0,424748987;203,9279938;8209,349609;4;2,220340014
1;610,1110229;2,679260015;0,476401001;280,2720032;5838,109863;3;2,220340014
1;613,5869751;3,469680071;0,454964012;177,2599945;5417,649902;3;2,220340014
1;605,7399902;2,396029949;0,473031998;192,2649994;5822,330078;3;2,220340014
1;619,3510132;2,482300043;0,461026013;554,7440186;6178,040039;3;2,220340014
1;611,8610229;1,676169991;0,488310009;396,3649902;5956,029785;3;2,220340014
1;620,947998;3,576250076;0,476729989;965,6420288;6839,950195;3;2,220340014
1;565,973999;1,471089959;0,400224;109,6080017;11296,40039;4;2,220340014
1;595,3330078;3,972150087;0,462329;1139,48999;9193,259766;4;2,220340014
1;635,1259766;1,330829978;0,423610985;554,7440186;6598,089844;3;2,220340014
1;578,5150146;3,78557992;0,405609012;91,19940186;11066,90039;3;2,220340014
1;629,2369995;1,350630045;0,455184013;2244,030029;6761,75;3;2,220340014
1;624,6329956;2,968050003;0,454017997;2203,929932;7817,540039;3;2,220340014
1;615,8980103;2,735219955;0,45983699;1661,180054;8751,870117;3;2,220340014
1;636,0670166;1,144690037;0,45548299;1893,589966;7624,290039;3;2,220340014
1;627,1799927;1,142019987;0,468890995;699,1950073;8233,629883;3;2,220340014
