HAS_FIRE;Elevation;Slope;NDVI;Hydrography (m);Road (m);LULC;Pop. Density (hab/km²)
1;811,9019775;0,298911989;0,557995021;7792,370117;1616,060059;4;0,672481
1;815,1199951;0,280788988;0,589995027;6424,149902;1605,160034;4;0,672481
1;816,6199951;1,021900058;0,576388001;8442,660156;2692,399902;4;0,672481
1;818,7999878;0,551986992;0,597977996;6390,109863;3958,97998;4;0,292205989
1;815,9840088;0,257616997;0,558794975;7062,830078;2176,929932;4;0,672481
1;814,7670288;0,682971001;0,566154003;8497;2097,810059;4;0,672481
1;812,6290283;1,21370995;0,577023029;8949,990234;2038,369995;4;0,672481
1;814,9180298;0,818286002;0,586385012;7900,5;3028,560059;4;0,672481
1;808,7670288;0,41407001;0,523894012;4066,419922;634,7659912;4;1,103440046
1;810,6010132;1,046589971;0,639627993;7037,140137;843,0120239;2;0,672481
1;709,1140137;1,299059987;0,457791001;5862,75;0;4;1,103440046
1;775,2819824;2,271270037;0,508189976;3480,47998;1312,829956;4;1,103440046
1;815,0269775;0,836592972;0,496600002;5568,720215;1144,339966;4;0,672481
1;716,5380249;2,02696991;0,507386029;5827,890137;177,2599945;5;1,103440046
1;810,8619995;1,990419984;0,403562009;7648,25;303,9979858;3;0,672481
1;810,6690063;1,124130011;0,583067;8063,339844;490,1820068;4;0,672481
1;815,1799927;0,209268004;0,558699012;5915,399902;1586,920044;4;0,672481
1;792,1099854;4,402959824;0,506056011;7315,240234;231,5180054;4;0,672481
1;765,4699707;13,20199966;0,587532997;4609,759766;830,3099976;3;1,103440046
1;821,5089722;0,430568993;0,599036992;4413;1526,359985;4;0,292205989
1;763,5720215;4,510719776;0,484194994;3547,409912;1237,459961;4;1,103440046
1;837,15802;2,097229958;0,38082099;2302,570068;4421,790039;2;0,895577013
1;832,3530273;0,545517027;0,364652008;2196,370117;4536,089844;2;0,895577013
1;822,5130005;0,937627017;0,342911005;902,315979;2387,879883;2;0,895577013
1;731,5040283;3,020940065;0,441460997;1704,829956;286,7909851;4;1,103440046
1;828,6450195;1,071720004;0,26136601;2991,719971;3372,050049;2;0,895577013
1;707,4609985;2,027120113;0,439298987;6007,790039;151,9989929;4;1,103440046
1;766,6669922;8,762200356;0,555377007;4527,220215;705,117981;3;1,103440046
1;758,8400269;4,138790131;0,517883003;5091,220215;60,79959869;3;1,103440046
1;820,8930054;0,892382026;0,547078013;1487,109985;3045,449951;2;0,895577013
1;731,2230225;5,303679943;0,505869985;5720,089844;516,7960205;4;1,103440046
1;738,8889771;2,544369936;0,48013401;5003,330078;509,5929871;4;1,103440046
1;730,1420288;4,999939919;0,46398899;5584,379883;422,3269958;4;1,103440046
1;835,5;0,322831988;0,298781991;3398,800049;3645,570068;2;0,895577013
1;718,5380249;5,093810081;0,447939008;5521,810059;30,39979935;4;1,103440046
1;789,0280151;1,588700056;0,468057007;580,7869873;395,196991;4;0,895577013
1;716,8010254;0,497981995;0,492146999;3767,73999;816,8439941;4;1,103440046
1;728,197998;2,190370083;0,488184005;3726,300049;717,4609985;4;1,103440046
1;759,8560181;13,64579964;0,586530983;2565,320068;121,598999;5;0,895577013
1;750,0529785;0,682860017;0,625358999;1767,380005;151,9989929;5;0,895577013
1;756,5759888;6,695429802;0,612855971;2095,820068;1203,77002;4;1,103440046
1;786,6350098;1,642860055;0,450446993;1483,369995;1131,349976;4;0,895577013
1;721,2979736;14,82499981;0,540875971;6731;611,7839966;3;1,103440046
1;823,7069702;0,371336013;0,326407999;537,8270264;1588,079956;2;0,895577013
1;790,3079834;2,129879951;0,511196017;2472,120117;171,9669952;4;0,895577013
1;734,5029907;2,489559889;0,480955005;42,9917984;259,7359924;4;0,895577013
1;0;0;0,475639999;0;0;4;1,103440046
1;696,2630005;4,286610126;0,45669201;4793,72998;432,0620117;4;1,103440046
1;709,0079956;2,524840117;0,421734989;5159,72998;480,6629944;4;1,103440046
1;764,1049805;0,940122008;0,454649001;687,8690186;380,9079895;4;0,895577013
1;716,1069946;2,593280077;0,426615;5342,930176;792,7299805;4;1,103440046
1;711,6069946;2,04437995;0,481373996;4888,319824;969,9390259;4;1,103440046
1;712,9749756;1,457550049;0,474272013;4263,129883;601,8850098;4;1,103440046
1;709,6669922;2,406529903;0,442074001;1104,900024;1067,459961;4;0,895577013
1;690,5960083;2,359930038;0,367891997;4900,689941;67,97599792;5;1,103440046
1;788,1560059;22,58880043;0,345806003;4087,72998;60,79959869;3;0,895577013
1;828,697998;1,019350052;0,415060014;109,6080017;407,8559875;4;0,895577013
1;792,757019;1,803030014;0,494906992;4202,209961;1153,589966;3;1,103440046
1;812,3099976;2,817899942;0,515322983;1977,619995;739,6589966;4;0,895577013
1;776,7620239;7,930540085;0,47736901;3933,810059;237,4299927;3;0,895577013
1;705,3590088;3,61638999;0,463290006;3730,76001;328,8240051;4;1,103440046
1;738,1569824;2,55824995;0,460110992;2773,050049;30,39979935;4;1,103440046
1;795,565979;5,62928009;0,470521003;3454,889893;1647,77002;4;1,103440046
1;694,2869873;4,30768013;0,525022984;6892,180176;286,7909851;4;1,103440046
1;745,6719971;2,66663003;0,533042014;3106,290039;395,196991;4;1,103440046
1;718,3389893;3,045350075;0,456485003;4069,939941;42,9917984;4;1,103440046
1;723,5289917;3,29756999;0,504751027;2213,139893;280,2720032;4;1,103440046
1;751,7160034;1,923490047;0,415479004;109,6080017;339,8800049;4;0,895577013
1;762,1849976;3,711110115;0,608169019;2354,949951;67,97599792;3;1,103440046
1;761,085022;2,500669956;0,504015028;2396;288,3980103;4;0,895577013
1;752,0709839;4,593259811;0,494874001;4131,799805;327,4159851;3;1,103440046
1;695,9060059;1,937080026;0,484062999;6535,319824;299,4030151;4;1,103440046
1;715,40802;2,709880114;0,506516993;2986,310059;0;4;1,103440046
1;739,5479736;1,404410005;0,458516985;2952,689941;1253,420044;4;1,103440046
1;760,3759766;2,950939894;0,474875003;755,1149902;408,9869995;4;0,895577013
1;722,6060181;1,930999994;0,432974011;4010,929932;85,9835968;4;1,103440046
1;688,0239868;1,516530037;0,469420999;6773,220215;85,9835968;5;0,672481
1;734,5529785;2,79956007;0,435137987;2953,949951;1194,52002;4;1,103440046
1;734,5839844;1,741099954;0,450405985;3508,77002;0;4;0,895577013
1;771,2780151;5,594130039;0,514827013;1866,560059;1075,650024;4;1,103440046
1;750,3549805;2,326060057;0,563180029;2354,949951;219,2160034;3;1,103440046
1;789,6870117;10,40200043;0,492478997;2235,780029;838,6160278;3;1,103440046
1;717,8480225;4,50124979;0,517462015;6113,680176;516,7960205;3;1,103440046
1;733,9050293;0,637731016;0,468479991;924,5739746;171,9669952;4;0,895577013
1;679,5529785;0,972563982;0,392811;5601,819824;121,598999;5;1,103440046
1;772,3880005;13,27289963;0,485956997;3130;1189,089966;3;1,103440046
1;729,1680298;1,951200008;0,444469005;3017,090088;30,39979935;4;1,103440046
1;791,2189941;4,692969799;0,441900998;3141,050049;1082,51001;3;1,103440046
1;788,9699707;4,632929802;0,427605003;3554,570068;885,2550049;3;1,103440046
1;724,4470215;3,674649954;0,48220101;2393,879883;864,1240234;4;0,672481
1;682,6799927;0,62599802;0,75147903;5284,490234;184,9149933;5;1,103440046
1;728,5529785;2,38380003;0,487271011;671,5529785;505,9530029;4;0,895577013
1;828,4760132;1,824440002;0,361602008;257,9509888;354,5190125;2;0,895577013
1;708,6199951;2,293979883;0,436044991;1085,060059;982,2470093;4;0,895577013
1;687,6199951;0,879577994;0,513867021;5393,109863;192,2649994;4;0,672481
1;709,6199951;3,396029949;0,450933993;3774,110107;463,0360107;4;1,103440046
1;709,0939941;3,551889896;0,457309991;4313,879883;503,2059937;4;0,672481
1;795,4810181;1,471060038;0,470023006;1856,630005;1501,640015;4;1,103440046
1;737,197998;4,852540016;0,469781995;3752,98999;516,7960205;4;1,103440046
1;713,6439819;1,375090003;0,538807988;4867,009766;999,9639893;4;1,103440046
1;736,2880249;2,474339962;0,444537997;243,197998;0;4;0,672481
1;730,3829956;1,709190011;0,458492994;1564,930054;1044,709961;4;0,895577013
1;700,1199951;2,156879902;0,437314004;4676,830078;192,2649994;4;1,103440046
1;743,7000122;4,829619884;0,561587989;590,257019;184,9149933;4;1,103440046
1;764,3649902;11,76270008;0,530102015;3418,459961;693,8880005;3;1,103440046
1;766,8410034;1,667590022;0,510712028;577,5960083;942,8839722;4;1,103440046
1;776,0720215;6,545949936;0,649273992;1475,880005;894,085022;3;1,103440046
1;703,9639893;3,815570116;0,447905004;6450,560059;626,7080078;4;1,103440046
1;731,1630249;1,41305995;0,491014987;626,7080078;151,9989929;4;0,672481
1;735,8690186;1,586359978;0,464257985;109,6080017;607,9959717;4;0,672481
1;714,8010254;5,951350212;0,547038972;6238,180176;286,7909851;3;1,103440046
1;808,6660156;10,20160007;0,457192987;1265,160034;366,0620117;3;0,895577013
1;702,2340088;2,616660118;0,516377985;2160,310059;554,7440186;4;0,672481
1;738,7890015;2,026520014;0,55360198;243,197998;797,9580078;4;0,672481
1;708,4840088;2,669029951;0,502137005;4018,76001;135,9519958;5;1,103440046
1;747,7230225;11,82419968;0,55053103;3108,070068;883,6879883;3;0,672481
1;712,4439697;2,856820107;0,516924977;1063,98999;339,8800049;4;0,672481
1;730,9140015;3,940330029;0,570185006;3416,290039;221,3139954;3;0,672481
1;690,9110107;2,327080011;0,474186003;4216,700195;30,39979935;4;0,672481
1;784,5239868;6,46999979;0,483936995;3176,159912;712,289978;3;1,103440046
1;732,9130249;2,715879917;0,486616999;3851,550049;30,39979935;4;1,103440046
1;751,0490112;13,70569992;0,513868988;3803,97998;474,8599854;4;1,103440046
1;773,210022;9,465640068;0,519064009;3380,399902;729,5949707;3;1,103440046
1;780,8729858;17,51840019;0,532701015;4557,129883;490,1820068;3;0,895577013
1;803,065979;3,246000051;0,483886003;1934,630005;666,7189941;4;0,895577013
1;758,8839722;1,793689966;0,477775991;1519,98999;649,8729858;4;0,895577013
1;738,1820068;2,815589905;0,467498004;303,9979858;0;4;0,895577013
1;750,0020142;2,101059914;0,474447995;2359,659912;109,6080017;4;0,895577013
1;762,184021;2,320820093;0,552286983;3632,870117;42,9917984;4;0,895577013
1;825,5479736;0,532275021;0,389239013;3762,330078;423,4200134;4;0,895577013
1;801,8209839;0,653146982;0,465377986;1698,310059;761,8170166;4;0,895577013
1;696,7819824;2,267349958;0,552513003;6277,390137;0;5;1,103440046
1;775,65802;1,977609992;0,485291988;2693,429932;327,4159851;4;0,895577013
1;744,1469727;7,585229874;0,499516994;4595,200195;1182,859985;3;1,103440046
1;738,8319702;2,90109992;0,517334998;1468,339966;422,3269958;4;1,103440046
1;747,242981;16,11440086;0,554140985;4327,459961;151,9989929;4;1,103440046
1;790,4229736;14,83590031;0,450715005;3401,52002;1359,52002;3;1,103440046
1;727,9099731;4,581029892;0,45392701;3072,639893;560,5440063;4;1,103440046
1;789,2810059;2,841180086;0,392935008;4986,399902;767,2559814;3;1,103440046
1;705,7420044;3,068170071;0,431571007;6862,549805;475,8320007;4;1,103440046
1;763,6489868;8,191450119;0,559130013;2278,570068;0;3;1,103440046
1;782,0980225;10,08640003;0,50644201;3716,73999;816,8439941;3;1,103440046
1;729,2410278;4,305870056;0,469072998;3121,870117;632,5789795;4;1,103440046
1;712,3460083;2,514839888;0,496398002;3951,969971;214,9589996;4;1,103440046
1;800,0709839;5,239640236;0,480612993;2515,110107;1098,189941;3;1,103440046
1;787,5209961;3,81437993;0,436632991;4438,370117;565,4689941;3;1,103440046
1;736,5889893;1,714720011;0,510428011;3255,050049;491,1239929;3;1,103440046
1;747,1929932;4,014180183;0,449512988;2492,780029;1217,51001;3;1,103440046
1;821,742981;0,530565977;0,357710987;838,6160278;1415,800049;2;0,895577013
