HAS_FIRE;Elevation;Slope;NDVI;Hydrography (m);Road (m);LULC;Pop. Density (hab/km²)
1;808,7670288;0,41407001;0,523894012;634,7659912;4066,419922;4;1,103440046
1;811,9019775;0,298911989;0,557995021;1616,060059;7792,370117;4;0,672481
1;810,0549927;1,268890023;0,577584982;1315,300049;7037,009766;4;0,672481
1;810,0549927;1,268890023;0,577584982;1315,300049;7037,009766;4;0,672481
1;815,1199951;0,280788988;0,589995027;1605,160034;6424,149902;4;0,672481
1;816,6199951;1,021900058;0,576388001;2692,399902;8442,660156;4;0,672481
1;812,9979858;1,733890057;0,573494971;1569,050049;7167,970215;4;0,672481
1;812,9979858;1,733890057;0,573494971;1569,050049;7167,970215;4;0,672481
1;818,7999878;0,551986992;0,597977996;3958,97998;6390,109863;4;0,292205989
1;814,7670288;0,682971001;0,566154003;2097,810059;8497;4;0,672481
1;812,6290283;1,21370995;0,577023029;2038,369995;8949,990234;4;0,672481
1;814,9180298;0,818286002;0,586385012;3028,560059;7900,5;4;0,672481
1;814,9310303;0,305581987;0,530768991;3227,540039;8796,950195;2;0,672481
1;815,9840088;0,257616997;0,558794975;2176,929932;7062,830078;4;0,672481
1;810,6010132;1,046589971;0,639627993;843,0120239;7037,140137;2;0,672481
1;815,1729736;0,25889501;0,599429011;1247,5;6999,939941;4;0,672481
1;817,2410278;1,662989974;0,579258978;3804,830078;6213,02002;4;0,292205989
1;818,065979;0,262019992;0,612155974;4255,970215;7017,680176;4;0,292205989
1;793,0670166;7,363969803;0,599003017;623,7520142;5628,640137;2;1,103440046
1;807,335022;0,227962002;0,561897993;961,3259888;4241,720215;4;1,103440046
1;806,6350098;0,605449021;0,539889991;654,8319702;5789,22998;3;0,672481
1;810,0009766;1,062569976;0,590533972;1064,430054;7200,390137;4;0,672481
1;777,8460083;5,33949995;0,620553017;0;5850,200195;4;0,672481
1;697,5419922;2,73961997;0,418033004;60,79959869;6407,509766;5;1,103440046
1;709,1140137;1,299059987;0,457791001;0;5862,75;4;1,103440046
1;720,2069702;3,919929981;0,550948024;125,3420029;7175,509766;4;0,672481
1;819,8079834;0,968290985;0,584371984;494,8729858;4350,149902;4;0,672481
1;787,9569702;9,79640007;0,628971994;538,6859741;4020,139893;4;0,672481
1;832,3759766;0,704146981;0,343360007;4657,620117;2783,030029;2;0,895577013
1;832,6870117;0,395574003;0,29677701;3807,26001;3443,639893;2;0,895577013
1;825,0789795;0,862358987;0,31496799;3208,290039;2573,22998;2;0,895577013
1;775,2819824;2,271270037;0,508189976;1312,829956;3480,47998;4;1,103440046
1;804,4039917;3,574860096;0,48902601;769,6610107;666,7189941;4;0,895577013
1;763,5720215;4,510719776;0,484194994;1237,459961;3547,409912;4;1,103440046
1;815,0269775;0,836592972;0,496600002;1144,339966;5568,720215;4;0,672481
1;772,2789917;11,89309978;0,500576019;548,039978;5352,52002;3;0,672481
1;716,5380249;2,02696991;0,507386029;177,2599945;5827,890137;5;1,103440046
1;815,1799927;0,209268004;0,558699012;1586,920044;5915,399902;4;0,672481
1;792,1099854;4,402959824;0,506056011;231,5180054;7315,240234;4;0,672481
1;772,3729858;1,904989958;0,506996989;30,39979935;679,7600098;4;0,672481
1;768,6300049;11,80840015;0,556021988;395,196991;4377,990234;4;0,672481
1;810,8619995;1,990419984;0,403562009;303,9979858;7648,25;3;0,672481
1;765,4699707;13,20199966;0,587532997;830,3099976;4609,759766;3;1,103440046
1;821,5089722;0,430568993;0,599036992;1526,359985;4413;4;0,292205989
1;810,6690063;1,124130011;0,583067;490,1820068;8063,339844;4;0,672481
1;837,15802;2,097229958;0,38082099;4421,790039;2302,570068;2;0,895577013
1;833,4589844;1,425060034;0,284597009;4241,720215;3059,97998;2;0,895577013
1;831,0040283;0,693660021;0,275882006;3424,399902;3159,969971;2;0,895577013
1;835,3049927;1,726780057;0,292259008;4057,209961;2946,899902;2;0,895577013
1;759,5560303;2,148410082;0,464412987;288,3980103;923,072998;4;1,103440046
1;747,9019775;1,729400039;0,469592005;151,9989929;2766,550049;4;0,672481
1;832,3530273;0,545517027;0,364652008;4536,089844;2196,370117;2;0,895577013
1;812,9349976;0,534925997;0,574294984;759,9949951;6546,339844;4;0,672481
1;795,9290161;4,750810146;0,518860996;323,1539917;2879,649902;3;0,672481
1;818,177002;5,021930218;0,575289011;407,8559875;3008,199951;4;0,672481
1;835,7130127;1,038089991;0,365429997;4391,27002;2459,939941;2;0,895577013
1;747,9019775;1,729400039;0,469592005;151,9989929;2766,550049;4;0,672481
1;760,3179932;1,239259958;0,528119981;42,9917984;1061,819946;4;1,103440046
1;713,9790039;2,511569977;0,508997977;30,39979935;6840,02002;4;0,672481
1;822,5130005;0,937627017;0,342911005;2387,879883;902,315979;2;0,895577013
1;731,5040283;3,020940065;0,441460997;286,7909851;1704,829956;4;1,103440046
1;828,6450195;1,071720004;0,26136601;3372,050049;2991,719971;2;0,895577013
1;791,7979736;2,760699987;0,501816988;735,901001;4402,200195;3;1,103440046
1;695,4459839;0,363545001;0,464388996;231,5180054;6200,140137;5;1,103440046
1;707,4609985;2,027120113;0,439298987;151,9989929;6007,790039;4;1,103440046
1;811,2839966;0,867649972;0,470088005;245,0910034;7439,569824;4;0,672481
1;766,6669922;8,762200356;0,555377007;705,117981;4527,220215;3;1,103440046
1;760,3179932;1,239259958;0,528119981;42,9917984;1061,819946;4;1,103440046
1;758,8400269;4,138790131;0,517883003;60,79959869;5091,220215;3;1,103440046
1;820,8930054;0,892382026;0,547078013;3045,449951;1487,109985;2;0,895577013
1;736,177002;2,184309959;0,555781007;323,1539917;5071,669922;3;1,103440046
1;787,8170166;3,021480083;0,527176023;652,7109985;5179,839844;3;1,103440046
1;741,9940186;0,306665987;0,462345988;650,5839844;4162,549805;4;1,103440046
1;730,6359863;2,178649902;0,455137998;121,598999;5223,189941;3;1,103440046
1;731,7750244;2,985450029;0,477189988;448,8479919;5658,359863;4;1,103440046
